user_name,review_description,rating,review_date
D,"I do not like this new photo app, the old one was so much better. Whenever I try to view the
            daily memories, I scroll through the pictures & it keeps scrolling back to the top by itself. Very
            annoying. I also don't like the fact that you have to buy extra video storage once the 5gb is used up. I
            can't even delete the videos that are using up space. It would be nice to have unlimited video storage as
            well. 1 star for this new app.",1,"January 10, 2023"
A Google user,"Took photos with Alexa. Amazon saved them to their server. Installed this app on my tablet.
            using this app, I accessed the saved photos and downloaded them to my tab, then deleted the ones on their
            server. ok. Fine. Not liking the app for various reasons, I uninstalled it. However, in doing so, the app
            deleted all the downloaded photos saved on my tab. UNACCEPTABLE!",1,"January 17, 2019"
liang tan,"not as good as google photos app. this app will show all photos in the photos tab, including
            screenshots, all photos from social media etc. could have been better if other folders aren't being
            displayed in the photos tab so it won't mix cameras and backed up photos. The not-backed-up icon on the
            lower left of images aren't very useful either, it will just blend in with any image that has the
            same/similar color in that particular area, masking the icon so it's hard to tell if it's backed up/not
        ",3,"December 11, 2020"
Jo Ann Swampgirl24,"Confusing!! New update should be trashed. Everything is all mixed up. I cut the auto-upload
            off so i don't have to look everywhere in Amazon photos to find them. Can't find by date. And downloading
            pictures for my Mom's memorial CD for her wake/visitation was a nightmare and got a migraine while trying to
            figure it out. Keep it simple so it don't take so long to do what we need to do in the app. PLEASE CHANGE IT
            BACK!!!!!!!!!",2,"December 22, 2022"
Ronald Brooks,"The updated app sucks compred to the previos version. It's stuck in portrait orientation, It
            does not sense if my tablet is in landscape mode and adjusts, which it normally is because I have a keyboard
            cover. Hate the way Pictures On This Day from previous years works now. Inferior update. I'd tke the old app
            any day over this abonimation. Not well thought out design,",1,"November 5, 2022"
ShonnaLee,"I once absolutely loved the design of this app. Since the most recent update, it's so
            difficult! I can't edit the faces, or anything else. Difficult to find who wasn't added to the right face
            match, the unknown. Difficult to even find my albums I put so much work into. Not user friendly at all now.
            Please fix!",1,"December 9, 2022"
A Google user,"Outstanding Application that allows me to store pictures at high resolution, and then scale
            them down as needed for and from different types of devices. Having fourty five thousand high resolution
            images storef on the application, and then being able to search by type, name, location, date range, etc...
            Fantastic application, and makes for great usage across IOS, Windows, Chrome, and Android based devices so
            that i can have a central repository that can be managed and accessed anywhere...",5,"August 2, 2019"
Gary,"Works great without having to think about how to use it. This to me is what I would think
            apps should be like. It's so crazy easy to use. I take pictures on my phone get my phone to wifi (I have it
            set to only upload via wifi but can use mobile data) then within minutes I can see it on my tablet and not
            done anything other than take a picture of it. Google photos use to be my default app for this but when they
            changed storage limits this became so much better for me with years of photos",5,"June 7, 2021"
Tivallia,"This new UI update sucks so bad, I started using an off brand photo app. One, the UI is so
            confusing. You have all these filters at the bottom to find photos, but you decide to hide the edit button?
            You decide it was a good idea to not auto-upload screenshots and we have to manually do it? Why. Why did you
            have to hide and get rid of the things we regularly use? Just..why...",1,"November 25, 2022"
John Wise,"This app was excellent until the most recent update. Now it is always in portrait mode even
            on my tablet which makes it completely useless. I even have the bookcover keyboard attached and it is still
            in portrait mode. Pictures no longer back up and pics can no longer be deleted in the app on the phone and
            the app at the same time.",1,"November 23, 2022"
Lara Carter,"Does a great job organizing photos but it's REALLY frustrating that it doesn't allow you to
            download your photos from the cloud in a single process in large batches so that you don't have to continue
            being a Prime member in order to keep, in my case, literally thousands of photographs in their cloud when
            you know that's the only place some of them exist. Really frustrating to pay for a service like Prime only
            to have it hold your photographs hostage that way and call it a ""membership benefit.""",2,"September 2, 2022"
Greg Russell,"Last update turned this app fairly useless. using this as a photo backup becomes a lot more
            cumbersome now. No ability to sync photo structure, and removed the ability when deleting photos from the
            album to simultaneously delete from device, which means you have to do every operation twice. I can't use it
            anymore like this...",1,"November 23, 2022"
Hector Caro,"This app just went from a 5 to 3 for me. Used to really like the fact that on Android it
            showed which images hadn't been uploaded. Now there's no way to do that. Don't like autosave as I don't want
            to upload every picture I take as often they come out bad. Also, used to like how to un-tag people when the
            matching was incorrect. Now that is also gone.",3,"November 3, 2022"
Horribal Gamer,"Disappointed with the new update. No landscape, no time or date stamps on new pics. Doesn't
            see pics in my gallery. The useless memories feature is a waste of screen space. The app keeps refreshing
            and brings me to the top of the page. All around a horrible experience and completely disastrous redesign to
            a perfectly functioning app.",1,"November 6, 2022"
A Google user,"I love this app. It's so cool that my photos are on all my devices and they are saved in the
            cloud. If I want prints it takes less than two minutes to order them from the app (any size) and they will
            be in the mail and delivered within a few days. Especially fantastic is that if I get a new computer I don't
            have to transfer my pictures from one computer to another via a program or professional I. T. person.",5,"February 19, 2020"
A Google user,"I love Amazon photos. Great quality, fast delivery, good prices, and my favorite feature is
            the date they were taken is printed on the back of the photos. I scrapbook most of my pictures. By the time
            I get to them I cant remember when they were taken. This feature helps so much!! I wish companies were doing
            this for the last 100 years!!!",5,"July 10, 2019"
Vivian Pflanzer,"What happened to the landscape orientation? Can't use now since my plug is at the bottom and
            my stand for the tablet is for horizontal orientation! Also, my slide show option is gone. I just like to
            shuffle all the photos in slide show. Now I am forced to put in folders by year, location etc and no
            sideshow. So sad!",1,"November 16, 2022"
Kay Landis,"I absolutely hate that this app automatically nabs every single photo, every single
            screenshot whether you want it to or not. There needs to be an option to not allow it to do that. I just
            deleted 100+ screenshot recipes and funny memes from Amazon photos ""only"" (not device). But when I reopen
            Amazon photos, they're all still there because they're still on my device, and Amazon photos nabbed them
            again. Ugh.",1,"June 15, 2020"
Richard Hanna,"Having lost Irreplaceable photos once before, I've always used a backup drive via pc. Being
            a pc/android person that recently switched to iPhone , Amazon Photos make it easy to bridge the tech barrier
            between PC, android tablet, and iPhone. All photos go to Amazon photos and are easily available to both
            formats. Thus eliminating the frustration of apple android compatibility. One less aggregatation. Amazon
            photo works easy, stores at full resolution, and doesn't miss a beat.",5,"September 15, 2021"
Ann Miller,"This latest update has broken the app. I can't upload from any mobile device. I can't see my
            photos on any mobile device. It basically is not working on any of my Android devices. I have restarted the
            app and my devices. I have cleared the cache. I have uninstalled the app and reinstalled it. Nothing works.
            I keep getting messages that something went wrong. Really? You think so? I'm going back to Google Photos.
            This totally sucks.",1,"November 18, 2022"
A Google user,"Personal Info Exposed without my knowledge! . Did not know Amazon auto uploads everything
            (pics, screenshots, saved images) until I change settings! . Super Pissed that my name, address, phone #,
            BANK ACCT#, etc. was being posted on Amazon Photos! . AND that info has been out there for almost a YEAR! .
            Amazon needs to let people know!!!!!! . I just spent a long time going thru all my images and deleting
            dangerous items. . No beef with app itself- just with Amazon.",3,"April 9, 2020"
L Woodward,"Hopeless! When uploading images from my PC with the desktop app, they all disappear. I've
            discovered that if there's not a 'date taken' on any image properties they are put into the Amazon Photos
            app as the oldest images. On the website app you can sort by 'recently uploaded' and the desktop images will
            magically come to the top. But this option isn't available in the android app. FOOTNOTE: I've now
            uninstalled the App and using the desktop site. Much better!",2,"March 15, 2024"
Jeff Lloyd,"No landscape viewing and the app randomly ignores dates photos were taken. Upload photos,
            you cannot view them in landscape mode. Upload photos, they don't appear, because the app can't recognize
            the dates of the photos so they appear and THE VERY END of the order. Useless. Use Google Photos instead.
        ",1,"April 27, 2024"
Andrew H,"Photography is my life. I had to retire early because I have a rare type of arthritis.
            Photography is a great way to forget the bad and enjoy life. I'm 61 and got my first camera when I was ten.
            I've worked in labs, as photo editor in community college and more. Amazon Photos is the best for safe
            storage and the reminders are fun. Thank you very much for helping me create great photos and keeping them
            safe!",5,"April 19, 2024"
Stephen Knowles,"It has become easier to use. Facial recognition does always work. Worked with my
            daughter-in-law to do a slide show for my wife's Celebration of Life. The daily photos aren't always on the
            right date or year due to a computer crashing.",5,"March 28, 2024"
Russ Lowenthal,"Much better than Google Photo. Unlimited photo storage (old rating) Updated Mar 2024. No
            longer better than Google Photos. Both now charge for storage, and the Amazon photo search and A.I. does not
            work as well for me.",3,"March 24, 2024"
Simon Wilkins,"The apps OK but some times hard to navigate. Plus there's a restriction on videos which is a
            dam right swindle. Doesn't show that you have moved a file to an album",2,"April 10, 2024"
Tyra Isaacs,"Difficult to navigate or reach account information. I have 2 different Amazon accounts with
            2 different emails. The app immediately started backing up photos. There's no way to even tell which email
            or account I'm currently syncing all my photos too. It shouldn't be that difficult to see which profile or
            identification info is being used",2,"January 14, 2024"
Wendy Morey,"I love the automatic backup, and when watching Prime puts my pictures as background when
            paused grandchildren love watching the pictures slide show sometimes more than any movie.",5,"April 4, 2024"
Gail Harris,"Love Amaxon Photo's, just what I need to be able to sort all my Recipes, Photo's and make
            different fiolders so easy to find what you need. Saves space on my tablet. GREAT APP",5,"April 25, 2024"
Kim Carr,"My main reason to start using this app was because I had to send numerous photos to my
            attorney. It was so easy to group them and send them to him. It was easier than trying to send through email
            which is quite limited. He's not very tech savvy (nor am I for that matter) and it was easy for him to open
            the group of photos. Works great and it's simpler than other apps I tried.",5,"January 21, 2024"
Gloria Critchfield,"beta program is full???? I was able to get into this program before. but now it has been
            signing me out each time. so I removed the program and then reinstalled it. the same problem continues. I'm
            not happy",2,"April 12, 2024"
Patrick Keenan,"Love amazon photos I've had a very challenging few years and let my account slip for a long
            while logged on and the years keep coming back over the weeks I'm soo grateful memories are all I have.
            Priceless absolutely priceless 👌",5,"April 4, 2024"
Heather JUKES,"Not used it much. I assumed all photos on both of my tablets would merge together. Both on
            Amazon photos.",3,"March 19, 2024"
Daniel,"I like it that way separates the pictures by date and year, creating albums and small
            memories of moments in life.",5,"March 12, 2024"
Nevan,"Forced portrait mode? Really? What year do your developers think this is? Very poor quality
            app: cant upload folders, cant select multiple files easily (only one by one), lacks maps view, and just a
            mess for ordering/managing. Google Photos this is most definately not.",1,"January 1, 2024"
Linda Johns,"Not got to look at all the buttons and bows yet, but getting there on a need to know basis,
            all good so far.",4,"April 15, 2024"
Vic R.,"Dreadful. Can't look at my photos or videos in landscape, which is a pretty basic
            requirement. I'm paying for a subscription (albeit a small amount), but I honestly don't know why. The user
            interface is messy & the app is just generally annoying.",1,"December 19, 2023"
Emma S,"I like what Amazon photos are doing. I think one change would be instead of having to click
            every single image in the rubbish section, to delete them. It would be great if you had a delete all
            function in there.",5,"January 23, 2024"
Ian Handy,"I had something written here about how this app has gotten worse since the past update made
            it lag so bad it would crash on my tablet. But now all 30k images i have downloaded in thee past 5 years
            have suddenly vanished without me doing a thing. Do not use this app to store your photos, and especially
            dont use the payment plan for more storage. Youre better off buying yourself multiple hard drives because at
            least if you lose those, it wont be someone else ruining five years of memories.",1,"January 1, 2024"
Harold Thornton,"I love the ease and versatility of this app. I use across all my devices and comes with my
            subscription.",5,"March 27, 2024"
Dan Roskup,"Large storage capacity. Many functions that I am just starting to learn about. I just wish
            it could store more videos.",5,"April 5, 2024"
Jeff williams,"Would like if there was a way to keep old refused photos from popping up again, every time I
            add new ones.",4,"April 16, 2024"
brandyandcoke rumandcoke,"The options available, place, dates, people differentiate this app from others that I use.
            But I have yet to explore what else I can do like editing and the such. But for now I am pleased with the
            app but as I explore my opinions may change.",4,"January 30, 2024"
bishop agbonlahor,"This app has helped me in the orderly arrangement of my pictures and videos and give me a
            yearly reminder bringing memory back",4,"May 14, 2024"
Walter Lewinski,"I use the app every day on my phone and tablet. It's a great way to save everyday photos.
        ",5,"April 1, 2024"
Kessie A. Amponsah,"This is the best app for cataloguing and saving alll your images. As as digital creator, I
            am deeply impressed with its functionality. Quite a generous service provided by Amazon. Thank you.",5,"February 6, 2024"
Crystal Lynn,"A great way to save pictures when your memory sucks! It can get messy fast if you take
            pictures of nothing you need to keep, like screenshots.",5,"January 11, 2024"
Ray Godfrey,"Love the facilities it offers in addition to saving to the cloud. Especially like the way
            photos are displayed by Firestick when it is paused.",5,"January 24, 2024"
Lion Celestin,"Works like a charm. Love how it syncs with the app on the fire stick and displays random
            daily memories with the screen saver.",5,"January 11, 2024"
moises pineiro,"Why will u force portrait mode when I'm using a tablet. U should get rid of this and put it
            back as before. I don't use my tablet in portrait. Always landscape.",1,"December 10, 2023"
Maria Xena,"This app is quite easy to use and it fits my needs to be able to display my photos nicely
            for my family's pleasure. Just I think it needs a bit of improvement when it comes to displaying the photos
            from the oldest to the newest. I feel that my recent photos uploaded did not stay recent, it went all over
            the place and they not stay in sequence to the way I had uploaded them one by one. Craps! Ex: the recent
            photo (#1) is a photo from 2017 followed by old ones and so on...",4,"March 14, 2021"
Bill Davidson,"Installed to get automatic backup of photos and videos. Other apps offer a ""sync"" function,
            which usually deletes photos from your device if you make any changes in the cloud. Amazon offers a no
            frills backup from selected folders. A negative - the app does not give access to the trash folder to
            reinstate deletions. To do this you need to use the web. I won't be using Amazon for my cloud storage, it's
            too simplistic, but it does what I ask of it.",3,"February 4, 2021"
Michelle Chrisman,"Love this app. Easy to use.i wish that as soon as you organized the pictures into their
            respective folders, they would then disappear from the main page.",5,"January 29, 2024"
JJ,"I absolutely HATE the new update (Oct/Nov 2022). I work in landscape mode on my Samsung
            Galaxy Tab 6 tablet. Now I'm forced into looking at my Amazon photos in portrait mode. The ""memories""
            feature doesn't work properly, and I hate the format even more! After 2 tries each, I finally managed to
            delete some ""memories"" photos tonight, but then wanted to add a couple into a folder, and my large folders
            list was completely mixed up, so I couldn't even see the list I wanted! Horrible!",1,"November 8, 2022"
A Google user,"I like it, no limits with Amazon prime membership, storage can be use also by my family for
            no extra cost, upload is usually good, excellent backup for phone and tablet. App itself works fine for most
            of the time, crashes happened to me few times but rarely, web app / browser app for desktop could get some
            improvement but in general I'm happy. I doesn't have resolution limits as Google does.",4,"October 24, 2018"
hal saunders,"It did exactly what I didn't want it to do, as soon as it was activated it started uploading
            every image on my tablet. I'm a photographer, I have work in progress and multiple edited versions of
            images, and I only wanted this app to upload the final version or versions of an image. In short I wanted
            control over what was uploaded, not an app that just ran amok uploading everything.",1,"November 12, 2023"
Carl Ealy,"Very easy to use with many devices. The pictures are on my two Amazon echo devices and on my
            cell.",5,"March 2, 2024"
Keith Oliver,"I spent several days uploading 24K pics, both jpgs and raw images, to Amazon Photos. Now I
            have everything in a single, searchable location for the first time. I'm still undecided about increasing my
            video capacity as it filled the 5gb limit pretty quickly. I don't take a lot of video so maybe I'll stick
            with an external drive for those. It sometimes puts wrong pics under a person's name and it appears there's
            no way to remove them. I also wish there was a way to easily remove duplicates.",4,"February 7, 2021"
Roberto Arriaga,"All in All, an Amazing App to Keep, Organize and Share Our Cherished Memories... Thanks
            Indeed, Amazon Friends !",5,"April 19, 2024"
John Belle isle,I'm always breaking my phone Amazon photos stores all my memories safely. Thanks,5,"April 22, 2024"
Michelle,❤ the unlimited photo storage is amazing.,5,"April 18, 2024"
Chris Shepheard,"Latest version fails to run (crashes on startip) on both my Samsung Galaxy Tab 2 and Galaxy
            j5(6) smartphone. Not much good for backing up photos and reduces the value of Amazon Prime membership!
            Please get it fixed. Update: the version on Google Play is different to that on Amazon. It is corrupt and
            will trash the Amazon version if you have that installed! UPDATE Still no better - it constantly tells me
            that has failed to backup 4 items, starts to upload them and then consistently fails.",2,"July 24, 2021"
Cassi Wong,"absolutely HATE the new update!!!! I've used the app to share photos within the family. Now
            the family vault feature is just extremely difficult to use. cannot select multiple photos at the same time,
            cannot manage photos with phone/cloud/family vault at the same time. It's literally gone from 5 star app to
            rubbish while we keep paying for the Amazon prime. Zero star.",1,"November 17, 2022"
Lisa D Oretegon Horowitz De Le'on,"You keep all my pictures private, and doing let anyone take like gallery and photos from
            Google.",5,"April 5, 2024"
Ian Carne,"I agree with all the criticisms of this ""new"" version. Can't see pics in landscape, won't
            remember your settings, and trying to make a new album is not intuitive. Also, help and feedback is just
            feedback and no help. But the only worthwhile improvement is that I can now have my album pics sorted with
            newest first, only there is no choice, which is the only improvement I wanted in the original app! Perhaps
            Amazon should look at the Google app to see how it should be done.",1,"December 17, 2022"
Bex M,"When adding photo albums from my phone ... I've been left with multiple original photo
            albums from my phone being deleted and not able to recover. Very dissapointed I've lost a few years worth of
            things . It would appear that the sync means anything deleted from the Amazon app will also remove the
            original even tho the option to auto sync was not pressed. Should of stuck with Google !",1,"July 29, 2021"
Lisa Gumm clark,"I love this app so far. I hope i don't lose my pictures and videos now that im using this
            app. Can i delete my pictures and videos off of my phone and Tablet now that i use this app?",5,"April 8, 2024"
Barry B,"Always pleasant to use Amazon Photos, could be easier like Google photos though",5,"April 13, 2024"
Rod Parsns,"Works perfect no problems with it , just wonderful to use no hassle .",5,"April 12, 2024"
Kim Taylor,I have all my photos and videos in one place. It is also a good back up as well,5,"March 14, 2024"
Robert Byrne,This is an excellent app and very easy to navigate.,5,"April 9, 2024"
Keith Lawrence,"Easy and quick to use, brilliant!",5,"April 30, 2024"
John Smith,"Another Amazon App ruined, just Kindle left to destroy. Can no longer select individual
            family members albums. The layout is much worse, its like they're trying to make every App as un-user
            friendly as possible. I no longer use the music app following the update, now I cant find the photos like I
            could so I assume soon I wont be able to read books. Well done Amazon.",1,"November 15, 2022"
Troy Peterson,"The latest version presents an absolutely horrible user experience. It used to work well,
            but since the update it seems that landscape mode is no longer supported (a big F-you to tablet users), and
            I can't figure out how to add pictures to my family vault anymore. It has become totally unintuitive to use.
            And, best of all, the 'Feedback' button in the app does not work for me. When I try to provide feedback
            in-app the whole app crashes...",1,"November 21, 2022"
Elena 1 Danilova,"The only pet peeve I have is that the app unexpectedly swiches from landscape to album mode
            ... Especially frustrating when using tablet",5,"January 8, 2024"
Shug Martin,"It save fotos. But doesn't give you the opportunity to save an album into an album. So they
            are all mixed up",5,"January 5, 2024"
Jennifer Garrison,"Super easy, great prints and affordable! Will definitely use this more. I've had five orders
            and they haven't disappointed.",5,"January 11, 2024"
A Google user,"Would be better if album management was better. Also access to non-photo file needs to be
            available through the app",4,"January 14, 2024"
Paul Meehan,"Don't like the limited video storage also trying to get into videos to edit delete etc for
            some reason isn't working???",3,"December 19, 2023"
Carmen Paz,"Me han salvado la vida al perder mi telefono, perdi todas las fotos y esta aplicacion me las
            recupero...los amo. They have saved my life when I lost my phone, I lost all the photos and this application
            recovered them... I love them",5,"January 7, 2024"
Frank Erdelyi,"I didn't realize all the things that were collected until I just got this new phone peri am
            so pleased. There are precious pictures and videos of my animals and grandchildren that I thought were lost.
            How about that? They were just buried until I dug them back up.",5,"January 9, 2024"
Linda Murray,"I find photos that I had forgotten about and were removed out of my gallery. It's great
            looking at my old photos that I thought were gone.",5,"January 5, 2024"
Ant Kerr,"Easy to navigate around, and with a fire stick, I like the fact I can access Amazon photos
            on TV!!",5,"January 6, 2024"
Steve O'Connell,Easy to use and organise,5,"May 15, 2024"
Nicholas Rainbird,"Great app easy to use with non intrusive reminders, bonus is storage amount and picture
            quality.",5,"February 16, 2024"
Rebekah G,"Super easy to use on multiple platforms. Simple tools allow you to do basic edits, and you
            can organize photos into albums. I feel confident my photos are safely stored.",5,"March 13, 2024"
Tony Allen,Works good and adds pictures to echo show.,5,"March 28, 2024"
Angelo Patterson,Constantly consistently crashes utter and complete trash,1,"April 11, 2024"
