date,review,rating,isEdited,title,userName,developerResponse,,,,,,,,,,,1,too many ads!!,NeganHere,9/23/2023 4:58,"{'id': 39105551, 'body': 'Hi,\nThank you for your review.\nWe are sorry to hear that you are unable to use the App at this time. Please, reach out to our support team with the details of the issue at support.galleryvaultios@zipoapps.com  for further assistance.\nThank you!', 'modified': '2023-09-24T19:37:28Z'}",I tried opening the app and it goes to a blank page. It‚??s not opening. Can you assist,3,App not working,Nicksnamesssss,6/14/2021 23:03,So far so good one of the best,AdunNas,Rating,developerResponce
"Un minuto de publicidad para acceder, hay muchas app mejores.",1,FALSE,Publicidad excesiva 2,PÈsima app,"{'id': 42693134, 'body': '°Hola! Muchas gracias por tu reseÒa y los comentarios.\nLamentamos saber que los anuncios pueden haber causado inconvenientes. Solo est·n disponibles en una prueba gratuita; una vez que cambie a la versiÛn Premium, no se mostrar·n anuncios.\n°Gracias!', 'modified': '2024-03-19T19:30:10Z'}",,,,,,,,,,,,,,,,,,,,,,,,,
3132,5,FALSE,Joselito?s,Jose Alberto,,,,,,,,,,,,,,,,,,,,,,,,,,
1390,5,FALSE,s bzvz,Dhshdh,,,,,,,,,,,,,,,,,,,,,,,,,,
"I have saved lots of pictures and videos of the wildlife.they disappeared.i give you a -1,000",1,FALSE,Goofy12345#4,Lost all of my pictures,"{'id': 43470711, 'body': 'Hello!\nThanks for your feedback.\nOur support team will be able to assist you with the matter. Please, drop us a line at support.galleryvaultios@zipoapps.com\nThank you!', 'modified': '2024-04-23T21:05:01Z'}",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6/26/2023 11:48,"Please add option to add files to albums from the files. This is my only issue, i can only seem to add items to albums by going to album, clicking add, and searching for them. But if there was option to add from the file itself it would be a lot easier in some cases. 

Aside from that this is great, best photo app. U can add whole albums to hidden unlike the default app. Ads are no issue if u know how. 
It is a bit of a chore re-organising all files. It doesnt carry albums and folders over from main app. So u have to remake them all. But it is good",4,FALSE,Best found so far,hdhehreisbwi,"{'id': 40272240, 'body': 'Hello! Thank you for your review.\nWe appreciate your suggestion very much and have shared it with our Developers so that they can have a look and proceed accordingly.\nKeep an eye on the updates! You feedback is always very much appreciated. Please, note that ads are only there on a free trial, once you switch to the Premium version, no ads will show.', 'modified': '2023-11-21T22:37:28Z'}",,,,,,,,,,,,,,,,,
,,,,,,,9/9/2023 11:16,Why should we pay for a gallery app for no ads it‚??s dumb bc now if u turn the Internet off it‚??s glitchy UPDATE IT PLS(great app if they update it so I‚??m giving it a 5 JUST PLS UPDATE IT LIKE THE OLD VERSION AND ALSO LET US ADD TEXT),5,TRUE,REMOVE ADS,Djuzhdjsjxhdjdj,"{'id': 38456313, 'body': 'Thank you so much for your review and the feedback. \nWe are sorry to hear that the ads might have caused inconveniences. They are only there on a free trial, once you switch to the Premium version, no ads will show.\nThank you!', 'modified': '2023-08-22T12:55:20Z'}",,,,,,,,,,,,,,,,,
,,,,,,,1/22/2023 5:24,I Like It.,5,FALSE,Photos and Videos,KerryWild,,,,,,,,,,,,,,,,,,
,,,,,,,1/3/2024 12:29,Im unseated there are adds ‚?¶ but my screen went black for 15 miny till I don‚??t kill app. Also for short time when it‚??s work I wasn‚??t able to select photos as they automatically unselect after 3 sec,1,FALSE,15 max pro black screen,E2rd0,"{'id': 41109493, 'body': 'Hi, \nThank you for your review.\nWe are sorry to hear that the App is not working properly on your end. Please, reach out to our support team at support.galleryvaultios@zipoapps.com for further assistance. Make sure you send us a video recording of the issue or a screenshot and a detailed explanation of the problem. Please, note that ads only show on the free trial version. Once the subscription is upgraded to Premium, the ads will no longer show on your App.\nThank you!', 'modified': '2024-01-05T21:18:52Z'}",,,,,,,,,,,,,,,,,
,,,,,,,1/23/2024 21:39,I paid for this App and few months was good and after update new version start showing advertising I have to complain with Apple because it's not good at all,1,TRUE,Not Happy at all it's rubbish,Sadri9,"{'id': 39899003, 'body': 'Hi! Thank you for your review and for letting us know.\nPlease, reach out to our Customer Support Team at support.galleryvaultios@zipoapps.com and we will do our best to look into the issue for you.\nThank you!', 'modified': '2023-11-02T21:09:42Z'}",,,,,,,,,,,,,,,,,
,,,,,,,4/7/2023 0:11,"You can‚??t navigate through your library properly because the app is full of ads. 
I don‚??t recommend it.",1,FALSE,Full of ads,CristianBrt,"{'id': 38824714, 'body': 'Hi! Thank you so much for your review and the feedback. \nWe are sorry to hear that the ads might have caused inconveniences. They are only there on a free trial, once you switch to the Premium version, no ads will show.\nThank you!', 'modified': '2023-09-10T09:34:29Z'}",,,,,,,,,,,,,,,,,
,,,,,,,,,,FALSE,,,,,,,,,,4/24/2023 17:15,"{'id': 38824587, 'body': 'Hi, \nThank you for your review.\nWe are sorry to hear that you are unable to use the App at this time. Please, reach out to our support team with the details of the issue at support.galleryvaultios@zipoapps.com for further assistance.\nThank you!', 'modified': '2023-09-10T09:18:45Z'}",I have set the volume to max but still I am not able to hear sound in my iPhone 14 pro max when I play the videos.,2,No sound for video,AronQmr,,,,,
13-May-24,"Uninstalling. The app has become unusable. I can no longer share images from
                            the app. Everything is messed up in the app for sharing. I've been tolerating the updates
                            that made this app worse and worse, like the Devs are trying to make changes just to keep
                            their jobs or something. Now, it's not just inconvenient, it's unusable. You broke the app.
                            Going to find a new one. Also, why isn't the Camera Roll automatically part of the phone
                            anymore?!",1,,,Soli Deo Gloria,,,,,,,,,,,,,,,,,,,,,,,,,
7-May-24,"""So much better than any other gallery I've tried."" They've changed the way
                            the pics are shown when you use the app to post memes in forums, and now it's by most recent
                            and you can't get to folder view. I've contacted them twice and haven't heard back yet. As a
                            photo picker it's pretty much useless now, although it still allows me to set up folders
                            that the Horrible Google Photos can see ??≠",3,,,Fritters Fritters,,,,,,,,,,,,,,,,,,,,,,,,,
2-Dec-23,"It offers me everything I want in a gallery app the interface is fantastic
                            and my favorite feature is the information feature which even though I have some very old
                            pics on most of them it's able to tell me what date they were taken on and that's very
                            important to me! The editing the ability to create a new album easily within the interface
                            it's just a fantastic gallery app highly recommended",5,,,Thomas Dawson,,,,,,,,,,,,,,,,,,,,,,,,,
21-Aug-23,"It was really good when I first installed it, but I discovered that it
                            irreversibly damages all my files. It places them in incorrect orders and somehow changes
                            the DATE they were taken. I finally removed the media permissions and tried with a system
                            app, only to discover they are still out of order. I have no way to fix this. The video
                            player also sucks, not letting me swipe to the next video is annoying, especially when the
                            current one is over. Edit: the files are reordered automatically.",1,,,Moonbeam Graves,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jun-23,"Ads are EXTREMELY intrusive, blocking functionally just when you need it the
                            most. Today they disabled the ""skip video"" button - it's still there, just doesn't work.
                            Doesn't integrate well with other system apps. Crashes and locks up the phone regularly,
                            forcing reboot. This app sucks. I'll be deleting it as soon as I have time. Worst app I've
                            used in a long time",1,,,Bill Riley,,,,,,,,,,,,,,,,,,,,,,,,,
7-Jan-22,"I feel like my photos are safe because the app does not need wifi to work,
                            and my photos stay on the device. I just needed something to view my photos and videos. It
                            can also crop, which is what i've done, and saving the cropped photo makes a new image (i
                            believe). You can also change settings where if you delete a photo in the app, you can
                            direct it to permanently delete instead of going into the recycle bin. What i like too is
                            before you delete, it asks ""delete or recycle bin?"" . I like it.",5,,,Wikke Wicce,,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb-23,"it's a Google photos ripoff, and Google photos is a TERRIBLE gallery. so,
                            you know.... ugly interface that won't allow you to organize anything, only without any of
                            the convenience that makes people settle for Google. and the fullscreen ads are just
                            obnoxious. I'm not going to pay you to stop, but I'll give you a rating. since you wouldn't
                            stop badgering. I guess it's just too much to ask for an app that's at least not UNpleasant
                            to use, that'll get out of the way & let you use it.",1,,,Megan Storm,,,,,,,,,,,,,,,,,,,,,,,,,
21-Mar-22,"This app is great. It allows you to keep pictures password protected and to
                            delete files directly, without having to send them to the recycle bin. A warning: if you
                            switch phones, be sure to save your hidden files on your sim card or the cloud--anywhere not
                            directly on your phone. One flaw with this app is that it won't transfer hidden files. So,
                            you will have to transfer your hidden files yourself and then re-save them onto the app. I
                            made this mistake, and I lost alot of important pictures.",5,,,Martin Neas,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jan-22,"Great functional app for photos. I like that it has my photos in order and I
                            can view them in folders or expanded view. I also like that my videos are in a separate
                            place. It has a clean up tool that helps me keep duplicates out of the way. You get a
                            private folder as well for photos you want to keep hidden that has security protection.
                            *Updated* having to delete app because I can't delete any photos without permissions and
                            when the screen pops up it goes away and I've not been able to delete.",3,,,Emiley Smith,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-22,"The app is great except a couple of things: 1. When moving files from one
                            folder to another it should keep the same order of last modified from previous folder it was
                            in, right now it switches the order when moving them and that can be frustrating. 2. There
                            should be an option to make videos play on a loop. 3. When it's in select mode, it should
                            make the selection when touching the whole thumbnail of the picture not just the little
                            circlein top corner. Frustrating when selecting multiple files.",4,,,felix muniz,,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov-23,"Edit: Needs to updated. When viewing pictures, I rotate my phone to view my
                            landscape pictires and the rotate phone button does not appear. Will try other Gallery apps
                            until that is fixed. Review: Best gallery app! Has all the features, including secure
                            private section where multiple folders can be created. Has a great UI and also has uninstall
                            protection so less chance of losing pictures and videos. Love this! Please support this as
                            long as possible.",3,,,Edward,,,,,,,,,,,,,,,,,,,,,,,,,
14-May-23,"A fantastic replacement to the horrible Google Photos app. Samsung users
                            will feel at home with this app as well. The only issue I have with it, is that it requires
                            'Unrestricted Battery Usage' to be enabled. The other options are literally greyed out. I
                            find that this app can use significant battery if left unattended. But other than that, it
                            feels good to actually be able to take control of my gallery again.",5,,,Andy Z,,,,,,,,,,,,,,,,,,,,,,,,,
11-Apr-22,"I wish I could get rid of the clean, private and recent tabs at the top but
                            so far all the functions work good and it sorts how I want it and it isn't hideous divided
                            by videos and pictures. I don't like how percise I have to be when selecting pictures to
                            move or be deleted etc, I have to click the upper leftmost corner of the picture or it won't
                            be selected. Other than that it suits my needs and so far can't complain much further.
                            Thanks for a functional app!",3,,,Humans Aren't Real,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jan-23,"Yes. This app gets it. Best photo gallery app I've tried. And I've tried
                            several since I got my new phone almost a year ago. Has all sorts of built in functions and
                            is better at sorting than Google's pathetic gallery app. The ads are actually quite uncommon
                            and tame, however the ones with sound are annoying when they happen, but even that is a
                            pretty minor gripe all things considered. Keep up the good work",5,,,Alex Felix,,,,,,,,,,,,,,,,,,,,,,,,,
2-Sep-23,"I have no problems with this app I absolutely love it. But I do wish they'd
                            add a backup feature where you can backup your photos by added into a zip file onto your
                            phone that would be very nice. Overall I definitely do recommend this app and I definitely
                            do recommend paying for subscription to get rid of ads it's worth it and it helps
                            Developers.",5,,,Bradley JohnsonTV,,,,,,,,,,,,,,,,,,,,,,,,,
19-May-23,"Does the job. Don't use cleaners that wipe the system's image icon cache in
                            the background and it will be fast und useful. The guys seem to work hard to make it the
                            best app for images, i don't care about the ads, as long as they don't tear up my limited
                            ""unlimited"" data volume. All in all a very good and thought through application.",5,,,HELL KICKER,,,,,,,,,,,,,,,,,,,,,,,,,
4-Jan-23,"Would be great but for the intrusive ads. I guess I missed where it said
                            there would be videos shoved down your throat every 2 button clicks. And not short videos
                            either. I'm no stranger to in app advertising and am happy to purchase an ad free version -
                            I just didn't see that option. This one was ridiculous. Most people looking for a photo just
                            want to quickly find it without having their phone hijacked by a video you can't get around.
                            It was so annoying for me I removed the app.",2,,,Julie Davis,,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov-21,"It is alright. It does offer good features. My complain is that there is an
                            obvious locked gallery. Perhaps have a toggle to show/hide lock files. Exiting an edit
                            feature closes the entire edit. That's Annoying. It will be nice to have a trial premium
                            period ad-free. Not gonna consider buying something that gets annoying pretty fast within 12
                            secs.",4,,,Luingiorno Jasanpahaf,,,,,,,,,,,,,,,,,,,,,,,,,
4-Oct-23,"Moto Edge+, I started getting an error which blocked me from getting into
                            the app and the example it showed to fix it did not apply to my phone settings layout. Found
                            the solution by accident looking for a different app's setting. If this is your issue, too:
                            Apps > Special apps access > All files access and enable it for XGallery here. Works
                            now. Sent an email about this to the developer weeks ago with no response, so I guess I'm
                            tech support, but at least it's fixed. Otherwise a very good app.",4,,,Bri,,,,,,,,,,,,,,,,,,,,,,,,,
21-Apr-22,"If you're looking for an easy way to crop, collage, circle in red or
                            highlight, this is not it. I didn't make it last the first 90 seconds because every time you
                            try and pick up a line or a corner in crop, it either won't register your touch, open the
                            notification drawer from the top, the all drawer from the bottom, it activate the side
                            screen gestures like go back, and I have those settings as loose as possible because I'm
                            Android version 2 old, froyo, and I like my 3 buttons. Promptly deleted",1,,,Tom B,,,,,,,,,,,,,,,,,,,,,,,,,
7-Mar-24,"This my favourite gallery app for my photos. However sadly the latest
                            update. Really ruined the experience. Issue been while searching for my albums it just says
                            loading photos and long waiting. Before i just waited a couple of seconds and it appeared.
                            And another small issue been when ever i add a new photo to a certain album an old photo
                            reappears as the newest photo and as the album thumbnail . If it's possible to return some
                            settings as before I would really appreciate it. Thank you.",2,,,Busaiku Saiku,,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-24,"BRING BACK MY ""BACK"" BUTTON ! Abt 2wks ago, I realized virtual
                            ""back-home-multitask"" button were hidden in fullscreen view. That's still fine by me. But in
                            today's update, it were completely auto-hide itself in main page. Now, I have to ""tickles""
                            the bottom of my screen just to exit the apps. What are you smoking man ? Android users
                            loves their back button. We're unlike those iOS users who loves making their lifes
                            miserable. We got things to do, and quick-single tap are more preferable !",3,,,Firdaus Yahya,,,,,,,,,,,,,,,,,,,,,,,,,
11-Apr-24,"This is by far best 3rd party gallery app although there are some minor bugs
                            and 2-3 lacking fearures which if resolved I will happily pay a reasonal one time charge to
                            buy this. Like when gallery picker is being used by some other app to this one, suddenly
                            shows option to choose whole folders, not waiting to be inside and provide the chooser for
                            individual pictures. There are other requirements too not fitting within 500char limit here
                        ",4,,,Abhishek Sarkar,,,,,,,,,,,,,,,,,,,,,,,,,
1-Apr-24,"Update Removed android back and home button and put the apps back button top
                            left. What a hassle to have to reach up to go back each time you want to exit a pic or
                            folder. Also a hassle as now you have to swipe up to make home button appear, then hit home
                            to get out of app. Most times your swipe up only scrolls you down folders. Lame.",1,,,lex pen,,,,,,,,,,,,,,,,,,,,,,,,,
14-May-24,"Great app, wish the UI account for the Android navigation. I press lock when
                            I meant to press back.",4,,,Cooked Karambwan,,,,,,,,,,,,,,,,,,,,,,,,,
21-Mar-24,"So far very reliable and easy to use. 21.03.24:- Recently returned to this
                            app after trying the nightmare that is google's attempt at an easy to use image viewer. This
                            is still the best app on the Play Store by a mile.",5,,,Mike Spruce,,,,,,,,,,,,,,,,,,,,,,,,,
16-May-24,"good app but so far only one issue, just one. picture viewing order goes
                            like 1,11,100,2,22,200 etc. fix this and your 5 star all the way",4,,,Vinura Neveen,,,,,,,,,,,,,,,,,,,,,,,,,
3-May-24,"Just begun using. Seems very very user friendly. Ratings may change after
                            longer usage.",5,,,Bhaishree Jain,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-24,"I would buy an ad free version through the play store. I'm hesitant to pay
                            through the app itself. - Upgrade available through playstore now, five stars.",5,,,John,,,,,,,,,,,,,,,,,,,,,,,,,
8-May-24,"An excellently organised layout, easy to find whatever photo you're looking
                            for.",5,,,JP,,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-24,"I am love this gallery this gallery is very good and it's feature's is also
                            good and I think your invention is too good thank you for this invention and this aap is
                            help me for save and lock in a photo and video ??∑??∏",5,,,Santosh Srivas,,,,,,,,,,,,,,,,,,,,,,,,,
29-Apr-24,"Would have given 5 stars if they had not taken away the ability to put
                            folders in the SD card.",4,,,Rowdiemad65 Scott Campbell,,,,,,,,,,,,,,,,,,,,,,,,,
3-Apr-24,"It is the app for photo and video I really like it and I am using this for
                            about 3 years old.... Thank you so much developers ... ‚ù§‚ù§‚ù§‚ù§‚ù§‚ù§",5,,,Amjad fiaz Bhatti,,,,,,,,,,,,,,,,,,,,,,,,,
17-Apr-24,"This is working much nicer than other versions of Galaxy that I've used in
                            the past. Thank you so much for doing a nice job on this one... Keep up the amazing work.
                        ",5,,,MARK GARCIA-KOHLY,,,,,,,,,,,,,,,,,,,,,,,,,
9-Mar-24,"I am loving this App so far. I am still learning new things in the app. I
                            would like to see stickers and buttons.",5,,,Doris C Meshack,,,,,,,,,,,,,,,,,,,,,,,,,
1-May-24,"Helps to hide my secret photos.. I love this app to keep it in my phone..
                            Really great!!!",5,,,NUHA CONFECTIONERY,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-24,"Good alternative app and simple to use. Not many intrusive ads. However,
                            would appreciate being able to purchase a pro version without ads.",4,,,Aldo M√ºntener,,,,,,,,,,,,,,,,,,,,,,,,,
15-May-24,"I give 5 Star, because this application not showing ads.! Thank you",5,,,Rajesh Kumar,,,,,,,,,,,,,,,,,,,,,,,,,
12-May-24,"Great gallery app, so far I love it!!! I fully recommend it to everyone!
                        ",5,,,Theodore,,,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-24,Absolutely stunning and amazing gallery app.,5,,,Denish Kaman Daniel,,,,,,,,,,,,,,,,,,,,,,,,,
16-May-24,"Very easy to use No complications, no issues so far ‚ù§Ô∏è 5 star ?•µ",5,,,Eden Hazard,,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-21,"Your app is very good! I daily move a lot of photos, and it makes me lose a
                            lot of time having to click on the ""More"" button to reach the ""Move to"" button, again and
                            again. When you are watching a photo/video, can you please replace the bottom ""Set as""
                            button with the ""Move to"" button, please? ?•∫??è?èª I think it's better for everybody else too.
                            Same when you select multiple items (in fact, it's useless there). Or at least give us the
                            option to change it for ourselves, please ??è?èª Thanks in advanc",3,,,Dolores Mu√±oz,,,,,,,,,,,,,,,,,,,,,,,,,
24-Oct-23,"It's better than my phone's built in gallery app (sorry not sorry). It
                            locks, organizes, names, and edits (to an extent) files. The ads aren't too bad either!
                            Plus, there's a recycling/delete option for my indecisive self. Keep up the good work and
                            listen to feedbacks ??ç. Edit: I see people's complaints about the ads, mine doesn't have a
                            lot so ig it really depends. Why not try for a couple of weeks to see for yourself yk?",4,,,4Funsies,,,,,,,,,,,,,,,,,,,,,,,,,
3-Jun-23,"This App is a fantastic tool for organizing and managing your photos on
                            Android. With its sleek and intuitive interface, navigating through your gallery becomes a
                            breeze. The app offers a range of useful features, including the ability to create albums,
                            sort images by date or location, and even hide private photos behind a secure passcode. The
                            editing options are also impressive, allowing you to enhance your images with filters, crop,
                            rotate, and more. Plus, the app is lightweight and doesn't",5,,,tanumay pal,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-21,"Kudos to developers, who are doing great with this app! It's almost perfect
                            with many highly useful features and excellent UI. Improvement needed includes: (1) fix its
                            extra-slow loading and opening of videos/photos for viewing, or selecting, or playback; (2)
                            add a feature to adjust font (as current unchangeable font is just too small); (3) increase
                            speed in movement of minimum slideshow (being '1') for a faster movement than currently and
                            (4) add a feature to adjust number of album columns.",4,,,Fred Addison-Ankrah,,,,,,,,,,,,,,,,,,,,,,,,,
