user_name,review_description,rating,review_date
Charlotte Mwagbe,"Love this app. Everyone loves my tv slide show, including me! My sister wants it on her TV so she's next!",5,5/14/2024 7:48
Joseph Smith,Fun look back over the years of old photos.. update it's great to get some random pics from the past to look at,5,5/14/2024 7:44
Nicole Kotowski,It's a good app,5,5/14/2024 7:09
Jerry Benson,Ok,5,5/14/2024 6:49
Amber Holznagel,Love this app!!,5,5/14/2024 6:00
Charyl Engelman,Can't find photos,1,5/14/2024 5:46
Chuck / Margaret Campbell,Like it.,5,5/14/2024 5:31
Apu Oghenekevwe Anointed,Why is it difficult to upload photos now,5,5/14/2024 5:18
Keith Ikwoanimo,Easy and simple to navigate and use.,5,5/14/2024 4:53
Sergio Ortega,Awesome,5,5/14/2024 4:08
Derek Overton,Great app,5,5/14/2024 4:08
Gary Thompson,works great for me. nice to have on one secure site.,5,5/14/2024 4:04
Ray Collins,"Great for storing pics and videos, terrible for search....would be great if you could search metadata",4,5/14/2024 3:23
Truth is Subjective 2 Interpretation,Decently good app,4,5/14/2024 2:33
C Das,"Good app, annoying notification. There is no way to tell the app to stop asking me to turn on automatic upload. I have to disable all notifications in os ?§¶‚?ç‚??Ô∏è?§¶‚?ç‚??Ô∏è?§¶‚?ç‚??Ô∏è?§¶‚?ç‚??Ô∏è?§¶‚?ç‚??Ô∏è?§¶‚?ç‚??Ô∏è",3,5/14/2024 2:12
Carol Webber,Great to order picts for projects but must plan ahead because of a movement disability. Takes time for home delivery.,5,5/14/2024 2:00
Pinocioprincess,Again very difficult for me as im not genius computer but learning well,1,5/14/2024 1:54
Suzanne Messmer,I love that this is a bonus prime member option. It works as good if not better then Google. Again Amazon comes out on top in my personal opinion.,5,5/14/2024 1:29
Annette Marshall,Nothing that l care to discuss,4,5/14/2024 1:05
D. Marshall,Good so far!,4,5/14/2024 0:16
Maureen Baumber,Great,5,5/13/2024 23:59
jane murray,I really like it because it's easy to use,5,5/13/2024 23:55
Clydene Maynard,Very satisfactory,5,5/13/2024 23:54
Clive Bellman,"Generally, good",5,5/13/2024 23:47
Steve ‚??Akheron‚?ù,"Easy to use, quick in the file transfers. Easy access to your stored files.",5,5/13/2024 23:39
Willie Taylor,Love it,5,5/13/2024 23:31
Brian Speck,An added bonus to my Prime subscription.,5,5/13/2024 23:16
cameron nemitz,Great app love that my prime comes with this,5,5/13/2024 23:01
mark ohly,Awesome app,5,5/13/2024 22:56
Deborah Hotovy,I feel confident that my photos will not be lost due to a phone problem.,5,5/13/2024 22:53
GiGi **,I happy I can clear storage for free,4,5/13/2024 22:29
Amanda,I love this app,5,5/13/2024 22:04
Tony Cummisky,I enjoy the 'On this day' function.,4,5/13/2024 21:39
Mizuho,"I would've given this app a 5 stars, but due to a problem that hasn't been fixed it seems that's not possible. In the previous versions of this app gifs were playable, now it's not, which is truly disappointing. I might revert back to one of the older versions of this app.",1,5/13/2024 21:18
