date,review,rating,isEdited,title,userName,developerResponce
"May 14, 2024","Great app, wish the UI account for the Android navigation. I press lock when
                            I meant to press back.",4,,,Cooked Karambwan,
"March 21, 2024","So far very reliable and easy to use. 21.03.24:- Recently returned to this
                            app after trying the nightmare that is google's attempt at an easy to use image viewer. This
                            is still the best app on the Play Store by a mile.",5,,,Mike Spruce,
"May 16, 2024","good app but so far only one issue, just one. picture viewing order goes
                            like 1,11,100,2,22,200 etc. fix this and your 5 star all the way",4,,,Vinura Neveen,
"May 3, 2024","Just begun using. Seems very very user friendly. Ratings may change after
                            longer usage.",5,,,Bhaishree Jain,
"May 11, 2024","I would buy an ad free version through the play store. I'm hesitant to pay
                            through the app itself. - Upgrade available through playstore now, five stars.",5,,,John,
"May 8, 2024","An excellently organised layout, easy to find whatever photo you're looking
                            for.",5,,,JP,
"March 11, 2024","I am love this gallery this gallery is very good and it's feature's is also
                            good and I think your invention is too good thank you for this invention and this aap is
                            help me for save and lock in a photo and video 📷📸",5,,,Santosh Srivas,
"April 29, 2024","Would have given 5 stars if they had not taken away the ability to put
                            folders in the SD card.",4,,,Rowdiemad65 Scott Campbell,
"April 3, 2024","It is the app for photo and video I really like it and I am using this for
                            about 3 years old.... Thank you so much developers ... ❤❤❤❤❤❤",5,,,Amjad fiaz Bhatti,
"April 17, 2024","This is working much nicer than other versions of Galaxy that I've used in
                            the past. Thank you so much for doing a nice job on this one... Keep up the amazing work.
                        ",5,,,MARK GARCIA-KOHLY,
"March 9, 2024","I am loving this App so far. I am still learning new things in the app. I
                            would like to see stickers and buttons.",5,,,Doris C Meshack,
"May 1, 2024","Helps to hide my secret photos.. I love this app to keep it in my phone..
                            Really great!!!",5,,,NUHA CONFECTIONERY,
"February 12, 2024","Good alternative app and simple to use. Not many intrusive ads. However,
                            would appreciate being able to purchase a pro version without ads.",4,,,Aldo Müntener,
"May 15, 2024","I give 5 Star, because this application not showing ads.! Thank you",5,,,Rajesh Kumar,
"May 12, 2024","Great gallery app, so far I love it!!! I fully recommend it to everyone!
                        ",5,,,Theodore,
"April 28, 2024",Absolutely stunning and amazing gallery app.,5,,,Denish Kaman Daniel,
"May 16, 2024","Very easy to use No complications, no issues so far ❤️ 5 star 🥵",5,,,Eden Hazard,
"March 27, 2021","Your app is very good! I daily move a lot of photos, and it makes me lose a
                            lot of time having to click on the ""More"" button to reach the ""Move to"" button, again and
                            again. When you are watching a photo/video, can you please replace the bottom ""Set as""
                            button with the ""Move to"" button, please? 🥺🙏🏻 I think it's better for everybody else too.
                            Same when you select multiple items (in fact, it's useless there). Or at least give us the
                            option to change it for ourselves, please 🙏🏻 Thanks in advanc",3,,,Dolores Muñoz,
"October 24, 2023","It's better than my phone's built in gallery app (sorry not sorry). It
                            locks, organizes, names, and edits (to an extent) files. The ads aren't too bad either!
                            Plus, there's a recycling/delete option for my indecisive self. Keep up the good work and
                            listen to feedbacks 👍. Edit: I see people's complaints about the ads, mine doesn't have a
                            lot so ig it really depends. Why not try for a couple of weeks to see for yourself yk?",4,,,4Funsies,
"June 3, 2023","This App is a fantastic tool for organizing and managing your photos on
                            Android. With its sleek and intuitive interface, navigating through your gallery becomes a
                            breeze. The app offers a range of useful features, including the ability to create albums,
                            sort images by date or location, and even hide private photos behind a secure passcode. The
                            editing options are also impressive, allowing you to enhance your images with filters, crop,
                            rotate, and more. Plus, the app is lightweight and doesn't",5,,,tanumay pal,
"March 14, 2021","Kudos to developers, who are doing great with this app! It's almost perfect
                            with many highly useful features and excellent UI. Improvement needed includes: (1) fix its
                            extra-slow loading and opening of videos/photos for viewing, or selecting, or playback; (2)
                            add a feature to adjust font (as current unchangeable font is just too small); (3) increase
                            speed in movement of minimum slideshow (being '1') for a faster movement than currently and
                            (4) add a feature to adjust number of album columns.",4,,,Fred Addison-Ankrah,
"July 22, 2021","It's good to have an app that helps you escape Google. But I find the full
                            screen ads really obnoxious. I get it, hosting and developing an app isn't free, but full
                            screen/video ads are obnoxious and the fact they interrupt you while scrolling is absurd.
                            It's better than Google, but I am looking for a replacement with less/no ads. Again, I get
                            it, bills aren't free, but full screen ads are automatically bad and I'm not paying a fee
                            for the ""privilege"" of removing them.",2,,,The Glorious Lobster Emperor,
"November 2, 2022","Great app! Far better than my default gallery app. Pictures, GIFs and videos
                            appear instantly for both SD card and device, easy to use, and got a private album feature,
                            which encrypts pictures you want into the app. It's locked behind a PIN code. It has a few
                            cons though: You can't adjust pictures directly into the app, you need to download a
                            separate editor associated with it, and the private album button shows up on the home
                            screen.",4,,,octovore_shobon,
"July 15, 2022","The app was too good at first. But when I unlocked a lots of photos together
                            from this app and again locked those, from then it started running slow. I mean since then
                            I'm noticing that when I click any photo from hidden album in this app, it appears after a
                            long time. It takes few times to appear the picture after clicking. There remain black
                            screen for few moments when I click on any photo, and after some times, it appears on the
                            screen. So it would be great if this issue is fixed.",1,,,Torosa Sarker Apsora,
"December 12, 2023","Great to hear that Xgallery has good features, a private album option, an
                            ad-free experience, and a clean UI. Consider expressing your positive feedback in your Play
                            Store review: ""I love Xgallery! The app offers fantastic features, including a private album
                            for added privacy. The absence of ads enhances the user experience, and the clean UI makes
                            navigation a breeze. Highly recommended!"" Feel free to adjust it to better reflect your
                            personal experience.",5,,,Mojahidul Haque,
"March 1, 2024","Gallery- hide pictures works very well Good job. I am very happy thank you.
                            Keep up the good work. God-bless the USA 🇺🇸",5,,,Steven Soderquist,
"February 20, 2024","I haven't tried the app and just opened - and see ads. Ridiculous. Give
                            people time to try the functionality, and then give ads, it would be fare.",3,,,7kott8,
"March 14, 2024","I have lost my mobile few days ago in that mobile there was so many pictures
                            in private folder and now i have installed the app in my new mobile but there are no pics in
                            private folder how can i recover the photos of private folder from my lost mobile ??? Please
                            help me out !",3,,,Mohammed Obaid Ur Rehman,
"February 19, 2024","Gallery app developed by Inshot is one of best all in one aap for photos,
                            album and it has also has a file manager app which I am using and satisfied with results
                        ",5,,,Srinivas Rao Surapaneni,
"April 20, 2024","Only rename the folder and my all photo is hide give my all photo easy share
                            the file names",1,,,RAHUL KUMAR KAUSHIK,
"May 1, 2024",The experience is smooth and excellent most of the times,5,,,Lisa Mwamba,
"April 13, 2024","Video seeking bar working properly and no video skip option in private video
                            player fix the issue for five star please.",5,,,K S Kodanda Ramu,
"April 12, 2024","this app is so good and thier service is so Satisfying and they instruct the
                            person very well about the app and best of luck for the next Inshot Inc..",5,,,Irfan Irfan Abass,
"March 31, 2024","I have several gallery apps, but this is one of the best. Keep up the good
                            work guys. Thank you.",5,,,Justin Mcgill,
"March 11, 2024","Best app but facing glitch and slow loading. please update and fast app
                            👍🏻😊",5,,,Deepak Kumar (DPK),
"April 1, 2024","So far so good. I like the fact that I can also hide some of my pics and
                            videos on the app.",5,,,Thabiso Phika,
"May 3, 2024",Easy & simple to be used by unprofessional,5,,,amr hassan,
"April 11, 2022","This app worked for me so well the design is unique and very comfortable and
                            it can play high resolution videos unlike the other gallery out there🙄 But there is two
                            things that bother me first is sometimes when you tap an album it lags or it take 3 second
                            to view the album and the second thing is the private displayed icon why it is out there? I
                            suggest it should be replaced somewhere else ☺️. Please fix this Over all you have done a
                            great job designing this app.",3,,,Sha ne,
"April 25, 2024","Worst aap.please do not install.Adds cover back butten area and not allowing
                            to back",1,,,Bhuvneshwar Chauhan,
"February 2, 2024","A really good app, however the one thing I want is the ability to sort my
                            albums the way I want not the options in Edit: now that the feature has been added, it's the
                            best gallery app ever thank you so much & 100% recommend",5,,,Khalil Sonic,
"July 28, 2022","1) Needs an ""other"" folder option to move multiple albums in one folder. 2)
                            Remove the loading screen. It shows for a very short period but still annoying. Rest is
                            perfect! Edit: Im not talking about moving/copying pictures. I mean multiple ""albums"" in one
                            folder. I have further explained in an email. edit 2: A list view of albums would be nice!
                        ",4,,,maz,
"January 27, 2024","Really needs an option to ""exclude"" a folder. This app created a gallery
                            folder for each and every .mp3 thumbnail I have",4,,,JS,
"January 30, 2024","The best ever photo gallery app I have ever used. It's amazing with options
                            & features which ecactly I was looking for. Simply great!",5,,,Pankaj,
"February 9, 2024","Love this app but please stop giving me ads for gay dating apps (I'm
                            straight and I don't use dating apps) Also wish that the slideshow feature had a loop
                            function or more than 10 seconds",4,,,Luis Matias,
"December 28, 2023","It's just ad after ad. Have not been able to open a SINGLE PHOTO so far
                            because of this. Uninstalling immediately. Edit due to the reply:Why would I want to pay for
                            something I cannot even test? If I cannot test use the app because the ads do not allow me
                            to do so, I ain't going to pay a cent for it. For all I know it might not even work AT ALL.
                            And what does it have on default free gallery apps that is worth paying for? Nothing,
                            probably, but even if it had, I would not know 🤷🏻‍♀️",1,,,Electro Raven,
"April 21, 2024","Best gallery app i have ever used,it is not slow",5,,,Macho foussi Josian,
"March 9, 2024",Very good! I'd pay for no ads.,5,,,B Chorba,
"February 19, 2024","Very simple and Hustle free for the Photo Catagory system now all photo is
                            Categoriesed and I Can Easily find/View my Photos.",5,,,istiak ahmed,
"April 1, 2024",Very good in usage over different phone devices.,5,,,Adefolaju Ashaye,
"December 24, 2023","Getting forced to review it the minute you downloads one issue, the other is
                            the import photos doesn't give you a selection on your phones internal storage to download
                            into the folder you created. Also they force you to select the option that says it has the
                            right to delete your pictures, sorry but that needs changing.",1,,,James Instone,
"January 27, 2024","Must be the slowest gallery app of all time! Loading images are painfully
                            slow. Donuts and circles all over the place. Not Scaleable Not Unix like at all. It has the
                            speed of bloatware. Awful engine, poor implementation and optimization. App doesnt feel
                            professional. It feels cheap like it was slap dashed together. Not futuristic. A primitive
                            App. Like you went to a junkyard and collected rusty bolts and pieces. You guys can't be
                            serious!",1,,,n. prince,
"December 3, 2021","I've tried a lot of other apps out there that claim to do what this does, I
                            have no complaints, ads aren't even slightly an issue, I've had a singular ad that I was
                            immediately able to exit out of, it's albums have password protections and removes the
                            photos from your actual gallery that u choose to lock. Couldn't ask for a better experience
                        ",5,,,Keziah Davies,
"March 12, 2024","I lost my some photo and videos during the move and save them in the other
                            folder plz help me",3,,,Shahbaz Ali,
"March 7, 2024","I found this App very useful,I always give out my phone proudly knowing that
                            I have my privacy safe where no one can reach there,Thank you X~Gallery",5,,,Paul Oliver,
"October 29, 2022","So much better than the default gallery on my phone, cant complain. If there
                            is one thing that I wish you could implement: when adding folders to another folder, it
                            mixes all items together, when it would be better to allow those items to remain in their
                            original folder. So having subfolder functionality would make this app even better.",5,,,Harry Smith,
"April 29, 2024","(first problem) I Can not update the app why ????it doesnt
                            update.....(second problem ) The private file when I remove it from private folder it will
                            back to its old folder in old date and I have to search about it in the old folder (with
                            hundreds of files)....what if they are 100 files in private folder returned to their old
                            folders... we have to search about them in all folders Something very stupid spread the
                            private files when unlock them from private folder to their old folders(uninstall)",1,,,SOUL2SOUL,
"April 16, 2024",Awesome... Incredible opportunity to save data in one place,5,,,Kiren Bilal umer,
"May 31, 2022","Was my favorite photo app up until last month or so. And now after last
                            update I lost things I paid the pro version for to begin with. Currently looking for
                            something else for my gallery. Files are missing because of a recent update you guys
                            released. The app has been unresponsive and laggy for some time. I messaged support multiple
                            times. They said it would be fixed in next update. Not only was it not updated but I lost
                            all of my hidden files. Found another app that works like yours used to.",1,,,Fred H Fath,
"January 10, 2024","I've messaged their email with regards to the app asking for storage access
                            and the ""storage access/permission"" icon cannot be seen anywhere on the app and phone, they
                            haven't responded. I can't see my locked pics and not wanting to uninstall this 'cause it'll
                            delete my pics on folders too:(( pls responda",1,,,Gerry Jackson,
"July 13, 2022","Very good app overall, nice to use and does the job well! It's the only
                            Gallery app Ive discovered that doesn't try to shove ads down your throat. Yes there are
                            quite a few ads but it's very minimal and understandable, also the premium isn't overly
                            expensive ^^, the app is very easy to navigate making it a very nice app, the responses and
                            team seem very nice from what I've seen so even if you do have trouble you can reach out
                            <3 definitely the most user friendly, I definitely reccomend <3",5,,,Daisy Aldaine (Derivation),
"January 20, 2024","Paid subscription to remove ads and ads are still there. I literally
                            explained the problem in my review. You could of taken the initiative and fixed the issue
                            but you choose to do nothing. Scammer!!!!!!",1,,,Jason Latshaw,
"December 8, 2023","The gallery is quite good with ability to sort pictures with certain
                            characteristics. The issue is only the loading of pictures is slower than my phone's default
                            album gallery.",4,,,DJANIme,
"June 5, 2021","Regret making in-app purchase for removing ads. This app is quite expensive,
                            but is poorly coded. Keep getting Android notification about battery drain caused by this
                            app. This app should be doing absolutely nothing in the background. v1.3 is buggy, the app
                            keeps showing blank page, filters don't work reliably, and there is no option to exclude
                            folders. I wish developer could return my money.",3,,,Utkrisht Sridhar,
"December 22, 2022","This app has a fatal bug that freezes the whole phone's screen. If you start
                            your stock camera app on Motorola G100, take a random photo, then click on the thumbnail to
                            review the photo in this Gallery app, the phone's screen will get stuck forever and there is
                            no way to exit this Gallery app or get back to home screen. The only way is to restart the
                            phone. This is the reason why I have to quit using this Gallery, despite that it has some
                            nice features.",3,,,Hihihi Hihihi,
"December 16, 2020","Update: I still like the editing capabilities, fixed the ""save error"",
                            developers responded. What I don't like is that the advanced editor opens to Photo Editor
                            Pro, which is a very good editor but the pop up ads are very annoying and too frequent.
                            Banner ads are much less intrusive and easier to cope with.",3,,,Traveler 37138,
"March 12, 2023","Okay for viewing stills but not a viable replacement for gallery on Samsung
                            devices. No motion photo support from what I can tell. Huge Flaw: no option to retain
                            original image when editing, and any edit completely wipes motion photos and other
                            unsupported metadata. Even if you accidentally hit the rotate button, it overwrites the file
                            in-place and your 3-sec clip is gone forever. This makes the app unsafe to browse my phone's
                            images.",2,,,Cory McCarville-Schueths,
"October 1, 2022","I really love the interface but the main problem i have with this is
                            whenever I choose any albums, the picture inside take a few seconds before the thumbnails
                            appear. Sometimes takes more than 5 seconds. I was thinking about paying to remove ads, but
                            the delays in thumbnail make me think twice. Hope they can fix this.",3,,,Enriko Negrido,
"December 19, 2021","A very decent hide-photo app. No sign-up required. It merely hides your
                            photos and videos without uploading the files to online cloud storage. 4 stars because of
                            inactive customer support. I sent an email asking for support and never got a reply weeks
                            later. At least the app itself is good and suits my needs. If anyone encounters a problem
                            where you can't delete broken files left behind after hiding a photo or video, try clearing
                            the storage of your file managing app in the phone's settings.",4,,,name crisis,
"March 6, 2024",Amazing gallery look nic and features all fantastic recomend app,4,,,Cat Club,
"April 7, 2021","Absolutely the best Photo Gallery on the market‼️I Love it because it's so
                            large, and you can store up to any amount of pictures and videos. It's very small so it
                            doesn't take up much of your phone storage space and it simple to use. It has hide picture
                            so any picture that you want kept hidden will kept in a separate vault with with password/
                            or pincode. Overall a Outstanding app for storing your most precious pictures. 💯⭐⭐⭐⭐⭐",5,,,Amelia Forest,
"February 26, 2023","I'll give it at least one star because it's a little better than the rest
                            I've seen as far as format, but there's an ad EVERY TIME I want to look at my pictures! It's
                            obnoxious, I've never seen a photo gallery app with so many freaking ads. The only reason
                            I'm using it is because the one I was using is no longer available. If anybody knows of a
                            good one with less ads let me know.",1,,,Marina kitty (Kat),
"January 16, 2022","I used to use Quick Pick. And, really liked it. Though, they totally
                            changed. So, when I looked for a replacement a couple years ago, this is the closest. I was
                            looking for a simple looking gallery app where I can easily transfer videos and pictures.
                            This fit the bill. However, you can't rename files on here. That’s a bummer.",4,,,Kevin Kearney,
"March 27, 2022","Really good app, just have a few complaints: - In ""clean up similar photos""
                            I can't choose to ignore certain sets, therefore sets that I want to keep all of them will
                            stay there forever, making it annoying to see if 'actual' similar photos are there. - It's
                            weird to me that there's no simple drawing tool in the image editor, this would be usefull.
                            - No native video editing whatsoever, and it can't find a 'valid app' even tho I do have one
                        ",4,,,Robin,
"July 9, 2022","Cropping process is unbearably slow. Everything else was great but this is
                            my main issue about gallery apps which, unfortunately, this app also lacked. You also can't
                            lock albums in the SD card, which is pretty pointless for the locking feature. Cropping also
                            increases the file size A HUNDRED TIMES BIGGER. This shouldn't happen at all. Sucks because
                            it had potential to be the best gallery here. I am so disappointed",1,,,Aiseruchan,
"March 1, 2024","Very good app for see photos ,videos etc.",5,,,anant sharma,
"February 16, 2024","I Accidently deleted my folder full of drawings because of the laggy
                            begginning of the app, like when i enter the app it starts laging and when i deleted a
                            random folder, i searched for it and i noticed they deleted my important folder and the
                            reciclebin was activatated and it is EMPTY, i found a function saying ""recover files that
                            were deleted permanently"" and its working either",1,,,carlos gamer,
"December 27, 2023","I like the layout and it's way easy to navigate. Five stars would be
                            forthcoming if not for the fact that you cannot ""tap back again"" to exit the app when the
                            TikTok spyware ads show up.",3,,,Wayne Granger,
"April 6, 2024","Worst app i lost all my prive folder after uninstalling the app even after
                            adding my email i didn't got the old photos",1,,,Aqsa Mahveen,
"August 2, 2021","Get Locked instead, even the free version works so well on many levels and
                            puts this app and many others I've tried over the years to shame. Any picture that you make
                            private with this app is deleted permanently if you uninstall the app. The editor is
                            inconsistent--one moment you can edit a photo and the next moment it wants you install an
                            app to edit photos. It's just clunky.",1,,,MurderChickenXL,
"May 5, 2024",Best app. But it doesn't have edit option,5,,,Koustubh Nagineni,
"June 21, 2022","Doesn't seem to have an option to hide albums from the main screen, which is
                            a problem as every single music album I have on my phone is showing up and making the
                            gallery really untidy. I don't want to make it private, I'd just like to be able to exclude
                            certain folders and their contents from displaying in the gallery, but there doesn't seem to
                            be an option for this. Perhaps make the app description say that a simple exclude from
                            gallery isn't a feature as ""hide photos"" is misleading",3,,,Ryan King,
"March 26, 2023","Ad over photo in landscape mode. Installed this app looking for a simple way
                            to organize and view my photos. Saw the ad at the bottom in portrait mode, thought, no big
                            deal, it's mostly out of the way. Rotated to see the landscape view with more detail and
                            bam! Nasty ad covering the bottom portion of the photo with no way to see that part of the
                            photo. Uninstalled immediately.",2,,,Allan Williams,
"April 7, 2024","the best gallery ive use so far.. easy manage easy edit and delete .
                            everything is cristal clear. welldone dev.",5,,,Shafiq Al Hakim,
"January 12, 2024","Keeps crashing every time I press edit then displays a note saying 'no
                            responding close app or wait'. Also annoying having to watch ads when you want to look at
                            your own photos.",2,,,Jonny Chaos,
"April 9, 2024",Simple and easy interface,5,,,Tejbal Singh,
"April 24, 2024",Just easy to use and marvelous,4,,,patrick akrofi,
"August 19, 2021","This is the best gallery app out there that I've used! However.. there's one
                            major issue that has made it almost unusable for me. When deleted (not moved to trash bin)
                            photos would just become broken files that couldn't be found in the app but could be seen in
                            other gallery apps, filling up my camera roll in Messenger, Instagram, etc, as well as
                            causing issues with the gallery app.",3,,,Dr. Lavender (Албена),
"May 11, 2024",Too many pop up ads.,4,,,Rajiv Nair,
"June 6, 2022","At first I was skeptical.. And honestly hated this app but since using it in
                            the short time Ive have it I gotta say im impressed by the functionality. It's easy to use
                            and so love the backup option in case the app gets Uninstalled for whatever reason I won't
                            lose any of my pics. The ads are so minimal its next to nothing. Bravo in my opinion this a
                            great app and one of the better ones out there. I highly recommend this to everyone",5,,,Dawne Mccrea,
