Name,iCloud Reviews,rating,recommended rating,date
Keerthi N.,"""Best Google app""
Overall: Very good 
Pros: Best Google app used by
                    people worldwide. Has free cloud storage service, we can share, edit photos through Google photos.
                    Automatic backup options available. We can access photos on Google photos through any device. Photos
                    are stored according to date so search options are easy.
Cons: Password protection option
                    not available. More editing options are required",3,10-Sep,23-Oct-22
Jonathan L.,"""J.L. Google Photos Review""
Overall: Google Photos is a
                    software that I can count on to keep my files secured and updated with the latest files I have
                    intentionally or not store any files that were on my other devices such as a smartphone, tablet or
                    desktop computer.
Pros: They categorize my photos
                    by what is seen in them. For example, if I have three photos of dogs and 4 photos of food, they will
                    conveniently create folders and store those files in them. So, when I open Google Photos the home
                    page will show me my files in the various categories. 
Cons: As someone who is currently
                    unable to get a credit card, I am unable to purchase more storage when my free 15GB are full. This
                    results in me moving to another software or creating another Google account to store my files there.",3,10-Aug,5-Jan-23
Aishwary M.,"""Essential application for efficient storage and
                    sorting of all photos across multiple devices. ""
Pros: It is very easy to use and
                    most of the features are automated thus any user without any in-depth knowledge be sure that his
                    photos will be secure and backed-up
Cons: The free tier only provides
                    15gb of space and can provide more storage in free tier.",5,10-Oct,23-Dec-22
"Allen
                            E.


Verified LinkedIn User","""Simple and fun""
Pros: I love the stylized photos,
                    films looks backs and ease of finding the pic I need based on face location and more
Cons: Not much, this is a simple
                    to use app that frees up space on your phone and make it easy to work with",5,10-Oct,15-Jul-22
Sabrina F.,"""Greatness ""
Overall: It’s an amazing app
                    to use to secure and cherish memorable moments.
Pros: That even if I lose my
                    phone I am still able to gain access to important photos. 
Cons: May sometimes take awhile
                    to gain access to all photos.",5,10-Oct,11-Aug-22
Allison M.,"""I love Google photos!""
Overall: I've had nothing but
                    a good experience with Google photos
Pros: It's easy to use and
                    navigate. Never have to worry about losing anything
Cons: I have no dislikes when it
                    comes to Google photos",5,10-Oct,17-Aug-22
"Britt
                            M.","""User friendly cloud app for photos""
Overall: Since the time that I
                    use Google Photos I can keep all the pictures that I take, even the ones that are maybe not good for
                    publication. I love to see what happened many years ago this day/week and it is easy to edit
                    pictures. 
Pros: I like Google Photos
                    because of the easy search functions, that you can organise your photos as you want, not only at
                    date. Don't need to be worried that you loose any of them thanks to the back up function. Extra
                    features as collage and others are fun.
Cons: Too bad that the quality of
                    the pictures are max 16 megapixel.",5,10-Oct,8-Nov-22
"Amanda C.


Verified LinkedIn User","""Google Photos will always have your backup
                    ""
Overall: Excellent 
Pros: The automatic backups and
                    the safe keeping of my photos. 
Cons: That it will stop backing
                    up if you miss your subscription",3,10-Oct,25-Dec-22
"Ludmila V.


Verified LinkedIn User","""Google Photos using ""
Overall: I need it for
                    uploading and then sending photos by email. 
Pros: big storage my photos, easy
                    find exact photos, get photos in library, make album, easy modifications 
Cons: without problems, I am
                    completely satisfied",3,10-Oct,8-Apr-23
Sabrina T.,"""Awesome ""
Pros: It stores your pictures,
                    then you don’t need to keep them on your device.
Cons: There is nothing I don’t
                    like about it!!",3,10-Oct,24-Aug-22
Tiffany B.,"""Google photo is the number one choose for
                    storing, organising and sharing photos and videos.""
Pros: What features are mostly
                    impactful is the automatic backup and save your device storage .
Cons: The feature that could be
                    improve is the editing function. The aspect that was difficult for me to use is to save to device.
                    It was also difficult to with my existing business process.",3,10-Oct,16-Sep-22
"ashar
                            W.","""Nice to have""
Pros: It build in to the android
                    phones and auto save photos when taken to cloud from the camera app.
Cons: It not easy to use for
                    photo editing and lack feature compared to others.",3,10-Jul,2-Jun-22
"Raj
                            K.


Verified LinkedIn User","""Get all your memories in one place!""
Overall: The app can handle a
                    large volume of photos without a hiccup, and you get excellent photo album services for up to 15 GB
                    without paying anything. That is more than enough for an average user. The app has simplified our
                    lives, always at our beck and call to retrieve our memories!
Pros: 1. Google Photos neatly
                    organizes all your photos, screenshots, videos, animations, etc., and lets you search them in
                    whatever way you like.
                    2. You can search for persons, places, items, docs, etc. The incredible search facility lets you
                    organize your photo collection and pinpoint a specific shot in no time.
                    3. The library keeps all your albums on the cloud. Google's Artificial Intelligence automatically
                    prepares theme-based albums for you.
                    4. The Recent Highlights feature showcases the images you clicked in the last few days. Similarly,
                    the Spotlight feature automatically takes a person's best picks and creates a collage.
                    5. It can automatically spot similar shots giving you the flexibility to keep any or all of them.
                    6. You can share your albums with your near and dear ones or everyone.
                    7. The feature of sharing your photos with your partner by adding a partner account is fantastic.
                    The moment your partner clicks a picture, you can see the snap instantly from the cloud storage.
                    8. Every email account gets 15GB of free storage. If you ever feel that space is insufficient, you
                    can always buy more storage space at nominal rates.
                    9. Google Photos sends stylized photos and animations; more often than not, they are excellent.
                    10. It is also possible to alter the quality of the photo backup – ranging from original to medium.
                    The cloud backup ensures that your photos are safe, even if you lose your device.
                
Cons: 1. Free storage of 15 GB is
                    not enough and gets filled up pretty fast when you allow backup of videos or insist on original
                    quality. If your storage gets exhausted, you lose proper access to all Google services that are
                    storage based. Your emails will not come in the inbox, which is very awkward.
                    2. You require excellent Wi-Fi and mobile internet to reap the full potential of this app;
                    otherwise, most of your photos will not be backed up, or you may not access your snaps when needed.
                    3. The face recognition feature is not perfect, and you need to train the app to confirm that the
                    faces are of different persons.
                    4. The safety of your data is a big issue, and you may not be entirely immune to data-based
                    advertisements.
                    5. You can't merge the storage space of multiple email accounts. One of your accounts may be out of
                    storage, while others may be almost empty.",3,10-Oct,23-Jul-22
"Hèlia
                            T.","""Best cloud for photos""
Overall: This is a great cloud
                    photo app that works very well on mobile. I don't have to be concerned about running out of storage
                    space on my phone. Even if I erase photographs from my phone to save up space, they are all backed
                    up and protected.
Pros: I love how the Google
                    Photos algorithm works very well to detect faces and use this feature to keep shared albums updated
                    automatically. The heat map with photo locations is also amazing. All the metadata is well preserved
                    in the file so it works fine while searching and finding older photos. It also allows you to change
                    the dates and hours of your images if necessary. The mobile app is also great in saving memory by
                    making quickly uploading and detecting of backup files.
Cons: I am very sad the free
                    storage of high-quality photos is gone though the paid plan isn't prohibitively costly for the
                    average user. It also could have improved photo edit tools 
Alternatives Considered:
                    Photobucket
Switched From: Dropbox Business, ACDSee Pro and iCloud",3,10-Oct,30-May-22
"Rahul
                            R.","""Best platform to back up and secure photos""
Overall: My overall experience
                    with the software was great as I use it on daily basis. Most of the time I need to access old photos
                    for editing and designing purposes and Google Photos helps me to store and access them on tip of my
                    fingers. This is great software and will definitely help users looking for good and secured cloud
                    storage.
Pros: The platform is great as it
                    has a storage of 15 GB for storing your data or photos. Which helps you to secure a large amount of
                    data on it. You can access all of your already backed-up photos from anywhere and anytime this is
                    the best part of Google Photos. It also helps to find photos by different types of search tools and
                    options. One of the best apps with a good interface and smooth user experience.
Cons: Although the software is
                    great and very useful but there is something which can be improved like the software will only let
                    you access the photos if there is an Internet Connection. The storage can also be increased as
                    sometimes even 15 GB is not enough for storing all your data. There should be some more editing
                    tools other than the basic ones.
Switched From: Google Sheets",3,10-Sep,11-Oct-22
"Ansh
                            R.","""Best software to protect your visual data.""
Overall: Would recommend it to
                    everyone as Google is the most trusted platform and will provide you the best service with the best
                    security system. Just go for it guys you don't need to use this software also just keep the
                    automatic backup on and everything will be done by the software for you.
Pros: The app is free of cost and
                    this is the best thing about the app it has a storage of 15 GB approximately which is capable of
                    storing lots of data. You can just switch on the automatic backup option in the app and your all
                    photos and videos will get back up by themselves. You can access them back again whenever you want
                    to. Nothing can be better then this.
Cons: Everything is great but I
                    think the storage capacity should be improved by Google. As for a photogenic guy who clicks photos
                    every day it doesn't take much time to get your storage full. The app fully works on the Internet
                    connection and it will not work offline this is something which Google need to work on making it
                    compatible when a device is offline too.
Switched From: Google Sheets",3,10-Sep,12-Sep-22
Majmoon A.,"""Perfectly Impressive, Useful & Exciting Features
                    👍🏻""
Overall: Overall, Google
                    Photos is very useful and helpful for me. I use this software for storing my pictures and videos,
                    for freeing up space from my phone's storage, for sharing the data with my family members and I save
                    the stories which Google Photos automatically made from the past memories.
Pros: Every feature of Google
                    Photos is impactful. I mostly like the stories which Google Photos automatically make for us to give
                    a reminder of our past memories, i oftenly save these stories. I like the 'free up space' feature.
                    It helps to free up our phone's storage. The editing tools given are quite impressive because some
                    of its editing tools are not given in even other editing applications, specially the video
                    stabilising tool is very useful for me, it stables the shakiness of the video. It's a nice an
                    amazing software, i love it.
Cons: Everything in this software
                    is perfect except the given storage space, in my point of view. There must be given more storage
                    space or the storage buying price should be reduced, it's quite high. So that we can use this
                    software to a more extent level and can use it's amazing features.",5,10-Oct,17-Nov-22
"Roque
                            Fabian R.


Verified LinkedIn User","""El mejor servicio para resguardar tus imágenes y videos""
                
Overall: Sin duda el mejor
                    sofware para gestion de fotos y videos.
Pros: Por la facilidad de
                    realizar backups de tus fotos y videos automáticamente. Y lo mejor que tiene es el borrado de los
                    archivos que tengamos resguardados, una solución practica con un solo clic, de esa forma ahorras
                    espacio en tu celular o dispositivo y no pierdes nada. Luego en la versión paga es muy bueno para
                    retocar las imágenes. La facilidad de buscar por una palabra imágenes y la agrupación automática por
                    detección de rostros es genial, si quieres encontrar las fotos de algún conocido solo lo tienes que
                    seleccionar y te encontrará en todas las fotos que haya aparecido, genial, ningun otro servicio vi
                    que funciona similar.
Cons: Dejó de ser ilimitado en su
                    version gratuita, y aunque ofrece una version paga no convence el precio ya que acostumbró a una
                    generación con su version gratuita. 
Reasons for Choosing
                        Google Photos: Por la rapidez en la busqueda por rostros y/o objetos. Si quieres buscar
                    un auto solo pones en buscar auto y te mostrará los resultados de las fotos que tengan un automovil
                    en tu galeria.",5,10-Sep,3-Apr-23
"Miguel C.


Verified LinkedIn User","""Ideal para backup de Fotos y videos de tu dispositivo
                    móvil.""
Overall: Backup de archivos de
                    fotos y videos a la nube que de otra forma podrian perderse. y como se integra con Android , es
                    bastante mas versatil que otras apps de la competencia.
Pros: La sincronización de los
                    archivos casi en tiempo real, y la organización general de los archivos, con capacidad de compartir
                    mediante un link sin tener que tener cuenta en Google para acceder a ellos. y una muy buena
                    integración con Android.
Cons: Lo malo es que te quedas
                    corto de espacio de almacenamiento, y esto es algo que se comparte entre ""Fotos"" Google Drive y
                    Gmail, por lo que puede pasar rápidamente. Aun asi.. el plan de adquirir 100GB de almacenamiento no
                    está muy caro y mayormente aparece con descuentos. (lo malo es que hay que pagarlo por mes... )",5,10-Sep,15-Jun-23
"Verified Reviewer


Verified LinkedIn User","""Google Photos Review""
Overall: Google Photos has
                    been a critical tool in the advance of my business.I can share files that are needed by the team in
                    a very short time.
                    Also, I do not have to worry about my photos getting lost as they are automatically backed up and
                    the software ensures the total safety of my files.
Pros: I liked the Automatic
                    Backup Feature most as I do not have to worry about my photos and videos getting lost.
                    Apart from that,Google Photos is appealing as it is secure and I can access my files from multiple
                    devices,which is totally awesome.
Cons: The free storage space can
                    be increased a little bit from 15GB to enable users to utilize Google Photos a lot more.
Reasons for Switching to
                        Google Photos: The software I was using previously before shifting to Google Photos
                    does not have a lot of functionality as compared to Google Photos. Google Photos has eased my life a
                    lot and I cannot use any other software as it is simply the best.",5,10-Oct,30-Sep-22
"Elyn
                            H.","""Good Free Software""
Overall: It is easy to use. I
                    can fill out property management reports with the photos I have there. But it is not good for making
                    saleable stock images.
Pros: It is easy to use if all
                    you want to do is take and share low- to medium- quality photos. It automatically backs up
                    everything, so you can find it immediately on your other devices. the photo editor is easy to use
                    and has good custom filters, cropping and rotation to apply quick fixes.
Cons: Unfortunately, when you
                    start working with big photos it becomes a problem. It would be nice if it did not automatically
                    backup those, since I was planning to store them somewhere else anyway. Any edits revert the photo
                    to the lower quality small size, so the photo editor becomes useless. It is difficult to go back a
                    few years and delete photos that you no longer need, and you will exceed your storage quota.",3,10-Jul,26-Aug-22
Alessio T.,"""Strongly recommend""
Pros: For a free tool it's
                    phenomenal. 15GB of space doesn't seem like a lot, but I've been using it for years without filling
                    even half of the space. A valuable ally for sharing albums and photos with others. The photos are
                    loaded with a compression that does not compromise the general quality, this implies a lot of space
                    saved: for me it is exceptional.
Cons: I haven't found any defects
                    in general, except that the automatic synchronization is not always perfect, it waits for me to
                    upload the photos autonomously and other times it happens automatically, randomly and unprogrammed.",3,10-Oct,20-Mar-23
"Julia
                            A.","""Best Photo Storage""
Pros: I use Google Photos for
                    everything photo related. It is my primary photo storage. I love that I can access my photos from
                    any device, in real time. I take pictures with my phone, and they are automatically uploaded to my
                    Google Photos account and viewable from my computer immediately. It also allows me to make Albums,
                    which helps with organization. It is very easy to use.
Cons: My only complaint is that I
                    have only learned how to save pictures from my Google Photos account to my computer hard drive one
                    at a time. I have not learned how to save several at once, if this is a possibility. It may be a
                    feature that I haven't figured out. So I am saving pictures individually, which takes up some time.
                    But other than that, this software is amazing.",3,10-Oct,22-Sep-22
"Verified Reviewer


Verified LinkedIn User","""Most Required App For Our Memories ❤️ !!!""
Overall: Fantastic !!!
Pros: - Backup our photos in a
                    secured way and access from anywhere and any device.
                    - Provides backup with compressed format without losing quality
                    - Sharing with our friends & family easily and effectively( No more bulk photos sending to
                    everyone).
                    - Easy to find a photo from our gallery with keywords.
                    - Mandatory app for those who wants to keep their memories with them forever.
Cons: - Initially they provided
                    these services with unlimited storage quota. But now, they restricted to account storage limit. Thus
                    enable us to have photos within the limit. They may increase free usage quota from 15GB to some
                    extra storage like 50GB. (Will be helpful for those who requires more storage)",5,10-Oct,8-Sep-22
"Verified Reviewer


Verified LinkedIn User","""mi experiencia usando Google Photos ""
Overall: me gusta mucho la app
                    me permite guardar todas mis fotos y momentos , compartir un grupo de fotos con las personas que se
                    encuentran ahi . tambien el identificador de rostros .
Pros: me agrada la forma tan
                    rapida de que se sinconisa las fotos de mi celular, la forma de organizar las fotos en albuns y
                    poder compartirlos con los demas , la linea de timepo de todas las fotos asi puedes guardar
                    recuerdos y saber la fecha y el lugar .
Cons: un poco de desorden en las
                    fotos de lineas de tiempo",5,10-Oct,16-Jun-23
"Maruf
                            Ö.


Verified LinkedIn User","""Edit for Google Photos""
Pros: Google Photos is a
                    fantastic app for organizing and storing my photos. The free storage option is great, and its search
                    feature is impressive
Cons: However, recent changes to
                    the free storage policy are disappointing. It's becoming less cost-effective for users with large
                    photo libraries
Switched From: Adobe Photoshop",5,10-Sep,25-Sep-23
"Richie Faith Iris G.


Verified LinkedIn User","""Une bonne application pour sauvegarder les photos en
                    ligne à durée illimitée ""
Overall: J'enregistre mes
                    photos sur Google photos depuis des années. C'est avec plaisir que je les visualise après pour me
                    remémorer et partager des souvenirs avec mes proches. 
Pros: Possibilité de sauvegarder
                    les photos en ligne à durée illimitée et d'en avoir accès partout et en tout moment.
                    Possibilité de se créer des souvenirs au fil des ans sans perdre ses archives. 
Cons: Pas fonctionnelle hors de
                    la ligne
                    Donc impossible de visualiser les photos non téléchargées",5,10-Oct,23-Dec-23
keshav Y.,"""Simplifying Photo Management with Google Photos.""
Overall: Google photos
                    simplifies the management of digital photo collections, allowing users to focus on reliving and
                    sharing their precious memories.
Pros: Google photos allows users
                    to back up an enormous number of photos and videos without worrying about running out of space. It
                    also offers a wide range of editing tools and filters to enhance your photos.
Cons: AI powered search features
                    are impressive, but not perfect. It may occasionally misidentify people.",5,10-Oct,21-Jun-23
"Bruna
                            C.","""Integração com Android facilita o uso""
Overall: Uso desde que tenho
                    Android e sempre armazenei todas as minhas fotos lá. Apenas de 2 anos para cá, com a redução dos
                    GBs, tem ficado complicado armazenar tantas fotos.
Pros: Não precisar se preocupar
                    em salvar as fotos em algum lugar diferente do celular, com o backup automático e a gestão em nuvem,
                    faz do Google Photos a melhor opção para quem tem Android.
Cons: Talvez só a questão do
                    Google não permitir muito espaço gratuito, impacte o uso diário.",3,10-Oct,12-Aug-23
"Verified Reviewer


Verified LinkedIn User","""Google photos is a great way to keep track of your
                    pictures""
Overall: Overall I love Google
                    photos and it usually backs up quickly and keeps everything backed up so that you never lose it and
                    you can always go online and grab whatever picture you need without using up the storage on your
                    device or pc
Pros: Whether it's a document or
                    product photos or family photos Google photos stores and organizes your photos by date and time and
                    it also has a search for photos feature that is really great you type in a keyword and it finds you
                    photos that match at key word that is awesome
Cons: The search for photos
                    program part needs a little work maybe a little AI integration sometimes it's hard to find it the
                    right keyword Bert to use to match the photo you're looking for Yet but you put in enough synonyms
                    it gets it right eventually",3,10-Oct,31-Oct-23
"Amanda M.


Verified LinkedIn User","""Number 1 Choice for Memory Keeping""
Overall: I have been using
                    Google Photos for years and years and most of the photos were auto uploaded by my cell phone(s)
                    which meant I was very lucky to not lose so many pictures!
Pros: I love the intuitive search
                    and face recognition that makes it so easy to find specific photos quickly.
Cons: Sometimes it can be tricky
                    to know how to archive, delete, or sort folders without losing them.",3,10-Oct,30-Oct-23
"Gioacchino T.


Verified LinkedIn User","""Essenziale""
Overall: Essendo utente
                    android è da molto tempo che utilizzo Google Photos come servizio di salvataggio e backup nel cloud.
                    Google come al solito fa un ottimo lavoro con la disposizione e l'organizzazione delle foto e video
                    che si caricano sul software. Peccato per i soli 15gb gratuiti ma i piani di abbonamento non costano
                    poi troppo. Consigliatissimo!
Pros: Possibilità di fare il
                    backup delle proprie foto, presenza dei ricordi e di suddividere le foto in base alle proprie
                    preferenze
Cons: Purtroppo l'offerta
                    gratuita mette a disposizione solo 15 gb di memoria",5,10-Aug,7-Feb-24
"Verified Reviewer


Verified LinkedIn User","""Great tool for my all my photos""
Overall: I love this tool. It
                    store my photos in high quality and is easy to use. I love the way it has improved over time and
                    search functionality is great. Easy to store and put into folders too. Backing up works fine, but
                    exporting many photos at once can be a bit tricky. But otherwise excellent.
Pros: - easy to use with my phone
                    or laptop- stores thousands of images and many videos- fairly easy to find files- good and updated
                    search functionality
Cons: - exporting files can be a
                    bit fiddly- limited storage spacebut considering it is free it is a great tool",5,10-Oct,3-Nov-22
Mariana D.,"""Efficient""
Overall: efficient, very good,
                    and keeps the memories of life that I had, there are old photos there, things that I will be able to
                    show my son in the future.
Pros: I like to keep my photos
                    and videos, I can delete photos and videos from my cell phone without losing them, because they are
                    all stored in Google Photos. and my memory is not full.
Cons: I think it should be easier
                    to find a photo, but the app is able to store many photos, but it is difficult to find the photos.
                
Reasons for Switching to
                        Google Photos: Porque o app guarda mais coisas, e mais seguro.",5,10-Oct,29-Jan-23
"Verified Reviewer


Verified LinkedIn User","""Excellent tool for photo management""
Overall: A great program and
                    superb for photo storage. Brilliant for sharing and I love the way it shares fond memories of the
                    past. Backing up can be fiddly and I wish we could have a function where everything could be
                    downloaded and stored all at once.
Pros: Easy to use and great way
                    to store my photos from my phoneI love the photo memories I see on the screen - lovely remindersCute
                    ideas and suggestions
Cons: Not much free storage
                    spaceBack up options a bit restrictive ideally need to be able to download everything at once and
                    save it",4,10-Aug,27-Oct-22
Swapnil M.,"""Best alternative for iCloud""
Overall: Great service, easy
                    to use apps and inexpensive cloud storage.
Pros: It is a good competitor for
                    Apple’s iCloud platform. Easy to use on PC, tablet and mobile and always available. Even buying more
                    storage is not too expensive. Love the product.
Cons: Only one thing, does not
                    integrate with Photos app on iPhone.
Switched From: iCloud
Reasons for Switching to
                        Google Photos: Actually I use both of these",5,10-Oct,5-Jun-22
"Ali
                            Hossein K.","""Google photos review""
Overall: I like using google
                    photos and my opinion about it is very positive and it makes my life much more easier when I don't
                    need to worry about every photo if I accidentally delete it from my gallery it's still in google
                    photos and that gives me a lot of peace of mind.
Pros: I like how fast it uploads
                    and back ups my photos and videos in to the cloud and that I don't need to worry about losing them.
                
Cons: Well it also stores
                    screenshots which only takes more space and can't be removed from the backup list.",3,10-Oct,24-Aug-22
"Ananthu Krishnan S.


Verified LinkedIn User","""Best cloud storage for photos and videos.""
Overall: A great application
                    for who take too many photos and don't want to lose any.
Pros: Google photos can identify
                    peoples and objects in photos and it can show all photos which have a particular person in it.
Cons: UI is bit confusing , other
                    that all good.",3,10-Sep,28-Apr-23
"stephane M.


Verified LinkedIn User","""test google photo""
Overall: for maps the
                    experience with google photo is good I can easily access stored memories that I can easily retrieve
                    without losing image or video quality
Pros: instant backup and the
                    possibility of being able to recover memories easily in our cloud and also the preservation of the
                    quality of the photos no loss
Cons: the only problem is in
                    terms of data consumption when you switch to 4g on your mobile for example it requires a certain
                    internet connection",3,10-Aug,22-Oct-22
Courtney R.,"""Easy to use but wish it synced with Google Drive""
Pros: We love using Google photos
                    to store and share photos. We create folders to share and organize photos and videos for marketing
                    and training. 
Cons: I wish it would sync with
                    google drive for easier organization.",5,10-Sep,16-Jun-23
Fabian L.,"""Google Photos - Secure Photo Backup Solution""
Overall: Overall my experience
                    has been wonderful.
Pros: Google Photos is a gem of a
                    tool. I love how it enables me to save, view and edit photos from my library for an infinite time.
                    It enables us to add names to faces in images, create short movies with images and clips from videos
                    and it even sends notifications of anniversaries of photos taken years ago.
Cons: I am yet to find a
                    noteworthy issue with this software.",5,10-Oct,9-Aug-22
