,date,review,rating,isEdited,title,userName,developerResponse
10,2023-02-26 09:59:08,"Why does the developer keep giving the same response without fixing the problem??

The iPad app is now getting worse. It is now virtually unusable without crashing. I posted a review awhile ago and followed the developers response. I can confirm that I am operating the latest iOS and have deleted and reinstalled the app. There has been no change to its reliability. If anything, it’s got worse even after the latest updates! Every time I carry out a task it crashes. What’s going on?",5,True,Unusable - update,Smart 101,"{'id': 34378515, 'body': 'Hey there, thanks for your review.\n\nWe’re sorry to hear that you’re experiencing this issue. Please ensure that your iPad is updated to the latest version of iOS that’s available for it. Then, delete our app, restart your iPad, and install again from the App Store.\n\nIf the issue persists, we encourage you to reach out to us on Twitter at @DropboxSupport, Facebook at facebook.com/Dropbox, or on our Official Online Community https://www.dropboxforum.com, for further help.\n\nCheers!', 'modified': '2023-01-19T10:43:26Z'}"
11,2022-10-07 08:54:33,"I’ve had a Dropbox account for as long as I can remember but I’m seriously thinking of chucking it. They have changed their Home Screen, so it’s very difficult to find a folder I’m looking for. It seems to only show recent files/folders but if I require to look at an older folder it’s impossible to find. I don’t even have that many folders! I’m not sure when  this changed but it’s quite annoying. Google images has a better app and I can find folders easier on their desktop profile as well. 

For basic backing up of phone files it’s fine but I use this in a work capacity and sharing of folders.",3,False,App not user friendly,evamarcy,"{'id': 32655351, 'body': 'Hey there, we’re sorry to hear about that. Go ahead and reach out to our teams on Twitter at @DropboxSupport or on our Official Online Community https://www.dropboxforum.com/ so we can have a look, and see what we can do to help.\nThanks!', 'modified': '2022-10-19T00:25:42Z'}"
12,2018-06-07 13:26:21,"All I want to do is move my files out of dropbox into my ordinary device storage. It only gives me the option to download and view my files inside the app. I need it outside the app to use it to edit videos, transfer it to other mediums, like my usb flash drive. I feel like my own property is being controlled and quarantined away from me. I feel  angry. EDIT!: I am happy! I have found out how to properly download my files. I click ”...”, then I click “export”, then I click “open in...”, then I can save to my iphone, copy to my Google drive and do what I want. Thank you!",4,False,Wonderful!,AAA.KS,
13,2020-07-07 15:44:48,"I've either been unable to upload any files from my iPhone since September 2019 - or uploads were painfully slow and required the app to be open and the screen on. Background uploads DO NOT WORK.

After a very unhelpful exchange with Dane from Dropbox Support he confirmed that it was no longer fully compatable since the intro of iOS13! I was told that my paid subscription is for the backup servers only and not the App. His advice was to resort to the desktop software and that my paid subscription does not involve any support. 

This was the end of our correspondence and no assistance was even given to obtain the files. Very disappointing as I've been paying for something I can't use as intended for 10 months. No offer of a refund was provided.",1,False,App Broken Since iOS13,MrWillRA,"{'id': 16484176, 'body': 'Hi there, we’re sorry to hear about that. \n\nOur social media team at @DropboxSupport would be happy to have a look at this for you. \n\nCan you please send our team a tweet with more details, or DM (direct private message) your support ticket number, so they can follow up? \n\nThanks! \n', 'modified': '2020-07-08T11:43:17Z'}"
14,2023-06-19 17:26:58,"I have very few complaints about Dropbox as a service, the web interface is good and the desktop integration works a treat too. However, the iOS apps are terrible. The file navigation is so confusing I find them barely useable.

Really basic navigation aids like a breadcrumb trail of where you are in the file structure is missing, no column view, no progress bars when something is downloading. Weird grouping of files and folders. I could go on!

1 Star for iOS apps and 4.5 Stars for Dropbox itself",3,False,Dropbox is great - iOS Apps are not,antonyjsmith,
15,2023-11-18 10:22:01,"As a paid subscription service based on privacy, do you really need to sell our data to other companies across the internet? And if you’re not selling it, why track us? —- —- —-  Ok so thanks for the ‘developer response’, which doesn’t answer my question (or appear here? Yet?). I’m not asking about the security of my files on Dropbox. I’ll repeat as clearly as I can…. I’m asking why this app needs to use trackers on your paying customers? After charging us the storage fee, why do you then need to sell our internet activity details to other companies? That’s what ‘tracking’ is, right?",2,True,"Why the tracking, Dropbox?",Nikolas Name,"{'id': 40195750, 'body': ""Hi there. If you haven't already, please have a look here: https://help.dropbox.com/security/file-access, for more details on file security in your account. We'd like to hear more about what it is you're experiencing exactly. Go ahead and post on our community https://www.dropboxforum.com/, or contact our team on Twitter at @DropboxSupport or Facebook at facebook.com/Dropbox, so we can gather more details. Thanks!"", 'modified': '2023-11-17T11:05:25Z'}"
16,2020-05-30 11:00:24,"I downloaded this app and initially thought it was great to hold my school support documents on, making it easier to send information straight from my phone to parents, during the Covid lockdown I am supporting families and children especially with their transition anxiety to their next school. I have some very supportive documents which I had hoped I could send to parents and you have not allowed me to attach them unless I upgrade! I am really disappointed that during this very difficult time that your company are not supporting us key workers to help support families by lifting this fee. Truly disappointed.
This could have been a really good tool to help us but instead the greedy fee has been your only interest.",1,False,Thought this would help!,Ennoaj,
17,2023-12-31 15:03:15,"Been using the app for almost 10 years, and the basic stuff never gets picked up on or fixed. 
- the scroll ‘pin’ is so small it’s basically impossible to use, please just make it a little bigger
- if you play an audio file and then lock your phone too quickly it’ll just stop playback
- the scrub functionality when playing a video/audio file is too fiddly, usually ending up in flicking to the next file
- downloaded files are a mess. They often unsync without reason- or they prompt you to ‘refresh’ to sync without any practical option to actually do that",2,False,Janky app,caffienated,"{'id': 41088135, 'body': 'Hey there, we’re sorry to hear that you’re experiencing an issue with our app.\nWe would like to get some additional information about this, and help in any way we can. Please reach out to our teams on Twitter at @DropboxSupport or on our Official Online Community https://www.dropboxforum.com/ so we can have a look with you.\nThanks!', 'modified': '2024-01-05T02:02:24Z'}"
18,2023-07-21 15:14:22,"I’ve used the Dropbox plus 2TB for a couple of years now. It works well across all platforms with no complaints. It’s annoying that there isn’t a 500gb or 1TB option because at 8.99 per month it’s a bit steep. 
So when there is a problem, Dropbox’s customer support service is terrible. I had an issue with my apple subscription payment not reaching DB. They blamed apple of course. Their email response time is about a week and the online chat agents are useless. I’ve also received an email from them saying my storage is low and I need to upgrade which simply isn’t true. I suspect there are gremlins in the system.",1,False,Good…until something goes wrong,G-whizz,"{'id': 38092515, 'body': ""Hi there, we're sorry to hear that. We’d like to look into this further with you. If you’d like that too, please post on our community https://www.dropboxforum.com/, or contact our team on Twitter at @DropboxSupport or Facebook at facebook.com/Dropbox, so we can gather more details. Thanks!"", 'modified': '2023-08-04T07:51:37Z'}"
19,2020-09-17 14:06:20,"The app itself has always worked fine, but I can’t rate it any higher than two stars because the browser version- on my tablet at least- is so slow as to be unusable. It’s not my browser/tablet as this is the only website I have a speed problem with. Two test runs to access two different files took more than half an hour (and I still can only open them on the screen, not download!).

If you only want to use the app it’s ok, but if you ever want to be able to access your files from any device that doesn’t have it, I strongly suggest another cloud storage provider.",2,False,App OK but not compatible,Catfish_Spoonbender,
20,2020-03-06 19:55:29,"I very rarely write reviews, but Dropbox has earned 5 stars from me more than once. Absolute life saver, I pay for business storage and have never regretted it once. It’s saved me after tipping water on my laptop on client deadline day, and from my own stupidity deleting files without thinking. If you’re thinking about whether it’s worth paying for the space to keep all your files in the cloud...it is. Do it now and thank yourself later.",5,False,Life saver,JoeLeese,"{'id': 13985010, 'body': 'Hey there, JoeLeese.\n\nThank you so much for taking the time to comment, and to share your experience with us. \n\nWe’re very happy to hear that you like using our app and services, and that we’ve been able to help out when things go awry.\n\nCheers! \n', 'modified': '2020-03-11T11:44:54Z'}"
21,2023-07-01 09:54:58,"Moving to another country not the easiest thing when it comes to Dropbox. Seems to be harder if you are a Premium member - which seems counterintuitive. However time cures all ills. So essentially have to wait a year (in my case as I paid the year), let Premium lapse so account becomes basic. Then can cancel and renew with new country details and currency. So, maddening for a while but help was persistent, pleasant, and  provided a clear solution. Appreciated the follow up too.",4,True,Always a Solution,Derek49,"{'id': 37413564, 'body': 'Hey there, we’re sorry to hear about your experience.\n\nTo change the currency with which you pay for your subscription, a downgrade should be all that’s needed. Once downgraded, you can then upgrade again with the new billing information of your choice.\n\nIf you’d like for us to have a look at this with you, we encourage you to reach out to us on Twitter at @DropboxSupport, Facebook at facebook.com/Dropbox, or on our Official Online Community https://www.dropboxforum.com, and we’ll be happy to help in any way possible.\n\nCheers!', 'modified': '2023-06-30T09:42:23Z'}"
22,2023-09-21 21:48:50,"Maybe useful but i just cannot comprehend why it needs to use 102mb just for the app by itself which is just a file manager of sorts.. Its bigger than most of my more complex music apps when it should be the other way round.. What with it being on iphone and ipad, both 16gb, its a lot of storage in itself just for what it is, meaning some files in my cloud (certainly less than 102mb) may not even download due to...space!.. Dropbox is hogging a whole load of space since it needs to stay in place for any usefulness... also, please remove the nowadays ludicrous limit of 2/3 devices, its not hurting anyone for me to use 1 or 2 more",1,False,Bloated..,Animouse21,
23,2019-11-07 00:00:10,"So, Dropbox stops working on my iPad. Re-install - as suggested - and now it says I have too many linked devices and will have to pay to re-add my iPad. Crooks! The beauty of Dropbox was that it worked seamlessly and was free, with some reasonable limitations. Not any more. Now I’ll have to struggle to make Microsoft’s truly appalling OneDrive work for me instead. Pity that Dropbox is going to gradually lose all of its fans...",5,False,Trying to monetise loyal customers,ncoops,
24,2023-03-29 07:27:16,"I’ve been using Dropbox since they started and it’s been a great app. That is until recently when it has become all about the money. I’m guessing that the bean counters have taken over this app too as you now get a constant annoyance of pop-up and messages saying your out of space (2gb free) or you can upgrade (I know I can) or don’t delete anything yet you can get more space (I have a NAS, this is just extra online storage). I don’t need any of these reminders, notifications. Leave it Dropbox before people leave you!",2,False,Constant annoying requests,LuRcH-134,
25,2020-08-19 20:12:22,"I was seriously about to return my iPad Pro for very poor battery life - it was dropping 40% or more overnight and normal usage during the day saw a terrible drop in battery life. Checked the battery in settings and found the culprit was the Dropbox app. Running in the background for up to 40 minutes every hour. Checked on Dropbox forum, not alone, others are seeing the same thing. Others also reported that turning off the background refresh didn’t solve the problem; deleting it however.....

So, deleted app and so far, battery life normal. Needs sorting out - or just forget Dropbox, plenty of other providers available.",1,False,Destroys battery life,Just another SteveO,
26,2022-08-07 08:36:14,"In general Dropbox is great, but if you want to use it to store and browse high quality photo scans - not so great. A 200mb limit on images it will create preview for makes it lousy for looking at someone like me who regularly makes TIF files north of that limit.  I imagine there has been some server cpu utilisation trade-off made to reduce latency, but I’m sure some smart developers could drop previews for these files into some lower priority scheduling window and make them happen. Here’s hoping.",3,False,Photo previews - file size restricted,Silver Moggy,
27,2018-06-08 18:41:58,"This used to be brilliant. I’ve reported several times that since the last update the app is using ENORMOUS amounts of mobile data, even with cellular data off for photos and videos. The app has used 12gb of my mobile data in a couple of days since I switched it back on, despite mostly being connected to WiFi, and video/photo upload off. I barely use the app most of the time so this is inexplicable. What the hell is it doing?! That’s the size of 3 full length DVDs or a large PlayStation game!

It did the same in May and cost me a fortune in extra data charges until I realised the App was using it all. It got through 5gb in a hour that time, although admittedly I had photo uploading on, it seemed to get stuck loading 1 photo constantly. No compensation from Dropbox for all the wasted money on EE data top ups.

I’m a paying user and I’m losing my patience with Dropbox for not sorting this out, if it is not sorted I’ll take my money elsewhere.

SORT IT OUT DROPBOX",1,False,Bug in most recent update,mrchimp,
28,2023-12-14 18:16:19,"I’ve been using Dropbox for half a year now mainly so I could view my external hard drive backup from my iPhone and iPad. After discovering that this is no longer possible all of a sudden after talking with customer support for hours, I see no reason to keep using Dropbox if I can find another solution. Not sure what goofy person decided this would be a welcomed feature to be removed.

Update Dec 2023: They’ve also secretly started opting users in for their documents to be fed to OpenAI. I will be moving to a NAS asap.",2,False,Ridiculous changes,Sbuth,
29,2018-09-17 20:33:39,"Creating and saving text files is extremely bad with this app. 

It doesn’t allow you to simply open the text editor and add text with autosave as most iOS apps do. You have to tap something before you can edit a text file and then remember to save any changes or edits, otherwise it’s all lost.

The app constantly fails to load the latest version of text files. Instead you get the version last opened on the device, which could be days or weeks out of date. The app may or may not realise this after several minutes and ask you to ‘refresh’ the text file to get the newest version.

This frequently causes conflicted copies of text files. 

The only way to bypass these problems is to remember to force quit the app whenever it’s used to hopefully get updated text files. Very unreliable and a terrible experience if you use it with text files.",2,False,Horrific with Text Files,webplus,
30,2018-05-28 17:36:06,"I signed up for dropbox paid version in the hope of being able to sync and share my files across all my devices and be fully up to-date. 

Imagine my shock when having saved my spreadsheets to drop box that I’d spent hours working on my mobile pc, looking at the dropbox tray utility to confirm everything was synced, and opening up the same files on my internet enabled home pc to find that not only had my dropbox files in the cloud not been updated but the old files on my home pc overwrote the mobile laptop files destroying hours of work!! I would have been better off with a usb keyfob! (That is where I am now). No conflict resolution or management and no previous versions offered. Nada. 
Hugely disappointed.
* No detailed file list with date & time
* No effective conflict resolution for concurrent changes on more than 1 device.",2,False,"Easy to use, but false sense of security.",viewer-x,
31,2023-12-14 15:28:24,"Dropbox has partnered with OpenAI, a company which has committed mass theft of individual’s propriety data and intellectual work for commercial gain, by misrepresenting its work as academic research. 

They have automatically opted in a large proportion of their users to AI integration without notice or proper explanation of what this entails. It has been claimed that the data won’t be used for training, and is just for AI-assisted tools. But OpenAI has shown no respect for our ownership of our data before, and Dropbox has followed their own unethical practice of automatic opt-in, so take from that what you will.",1,False,Your data may not be safe with Dropbox,oStarfax,
32,2022-11-28 12:49:52,"Despite being one of the most expensive ways to store photos in the cloud, the experience of browsing photos it truly awful.

Scrolling through a typical library of thousands of photos is painfully slow, loading half a dozen thumbnails at a time. iCloud Photos and google photos don’t have this issue. Carousel (by Dropbox) was the reason I joined Dropbox, and when it was discontinued we were promised a better native photos experience. Years later we are still waiting.",2,False,Sub-par photos experience,Daniel Harkin,"{'id': 33608713, 'body': ""Hi Daniel,\n\nThanks for taking the time to share your thoughts.\n\nWe do appreciate user input, and we'll be sure to forward it along to our team.\n\nShould you need assistance with anything, you may reach out to us via Facebook facebook.com/Dropbox, Twitter @DropboxSupport or our Official Online Community https://www.dropboxforum.com.\n\nCheers."", 'modified': '2022-12-08T10:46:17Z'}"
33,2021-03-16 22:29:09,Just scoped out all the main photo backup apps as my 0365 subscription expired and my OneDrive storage shrank. My main archive is about 350 GIG so 500 GIG would be perfect. Dropbox only offers 2 terabytes for £9.99 a month which is way over what I need price and capacity wise. If only there was a 500 GIG storage option for £2.50... Are you reading this Dropbox people!!?. It’s actually far cheaper for me to go back to 0365 for £5.99 a month which gives me all the office apps/bells and whistles AND 5 terabytes of storage for my files and pictures. Can’t believe I’m bigging up Microsoft but you get a lot more for your money with them 😂,1,False,Only one overpriced storage scheme,mcka98,
34,2021-11-06 23:56:04,A friend set me up with Dropbox as a way of sending photos to me when I was homeless. I can’t live without it now. While apps are now charging to use pre-installed storage I am never worried about losing my phone or keeping my photos safe. They automatically go to Dropbox and I can access them on any device. What’s not to like??,5,False,So Useful!,Ms GogoGirl,
35,2023-12-02 05:59:25,I am writing this review for first time I am subscriber as well before few weeks it was working excellent but now I am not getting the same service as it was before and I don’t understand why I am facing problems my upto 10k pics and videos are saved in Dropbox and I am afraid of losing them the new uploads not opening and showing in the folders don’t know what to do about this issue,4,False,Dropbox,ZaraZaib,"{'id': 40637487, 'body': 'Hey there, we’re sorry to hear that you’re experiencing an issue with our app. We suggest reaching out to our support agents from this page https://www.dropbox.com/support with more details, so they can help troubleshoot. Alternatively, you can reach out to us on Twitter at @DropboxSupport, Facebook at facebook.com/Dropbox, or on our Official Online Community https://www.dropboxforum.com. Thanks!', 'modified': '2023-12-12T10:56:30Z'}"
36,2021-08-06 09:29:03,"App is designed for collaboration, so you have to send yourself a notification when you upload a file and heaven forbid you don’t want to share a whole folder, do you? So it’s not really very useful if you don’t have any collaborators and to rub salt into it doing anything with your data requires you to ‘export’ it so it’s not really very useful for storage. So change the name to DropSend and we will all know where we stand.",3,False,Is this really a storage service,ct1003,
37,2022-12-08 23:02:45,"Dropbox is a great tool that families and friends can use for sharing photos letters and being so easy even the young ones can send to their Grandad the drawing and things they would like him to see. It is a good tool to use to send letters to banks etc. I fully recommend Dropbox and the 5 Stars I awarded 
Derrick Smart",5,False,Keeping family together,DRS UK,
38,2024-01-18 15:56:23,I thought Dropbox was a good idea until I reached my initial free limit. I then tried to offload my files but discovered I could not. I asked in the chat box how to do this but was cut off. I then discovered under the free Dropbox once I go over I have only access to my files if I upgrade. Now I not only can l not know what files I stored in Dropbox but cannot recover them. Sadly I was not aware this would happen so I did not keep a note of my Dropbox files. They are lost to me unless I upgrade. Unless you want to pay a lot of money for storage stay away.,1,False,Stay away,Michael Roddy,"{'id': 41549310, 'body': 'Hey, Michael, we appreciate your review.\n\nIf you have exceeded your account’s space quota, syncing with your devices will not work. Your files are accessible through your internet browser, so you can view and download/delete from there in order to free up space.\n\nIf you continue to experience the issue, or if you have any further questions, we encourage you to reach out to us on Twitter at @DropboxSupport, Facebook at facebook.com/Dropbox, or on our Official Online Community https://www.dropboxforum.com, for a closer look.\n\nThanks!', 'modified': '2024-01-26T11:15:27Z'}"
39,2018-05-26 06:06:18,"It really is. I can save from my phone and find it from my laptop.

In this day and age we shouldn’t be storing on our devices that is so last century ;-) Why have your smartphone or laptop die or get stolen or lost to find you’ve list all your important pictures and documents. Often our devices groan under the weight of all the storage they need to manage !

Dropbox it. Automatic camera upload, scanning and saving documents and decent storage at reasonable prices. You can make some documents available offline too which is helpful for guides, maps & timetables.

It’s almost perfect, a little more whizz and more intuitive controls and settings would make this a standout market leader !",4,False,Always there for me....,FizzyWhizzyPapa,
40,2022-04-13 02:45:58,"My work companion for years now even before offering me 2 extra gigs for free 😀Growing better and better. Simple, handy, easy handling - the offline selection particularly precious. Sharing from Desktop to other devices i use at work saved my life and the life of others (shared folder). THANK YOU!",5,False,The companion you need,4evermusiclover,
41,2021-07-22 15:58:26,"… but some months ago the camera upload feature stopped finding images on my phone and I now have to select images for upload manually. I thought it had been fixed when it started working again about ten days ago, but yesterday it stopped finding images. I have vast amounts of storage, so there should not be a problem. Disappointing!",3,False,Used to be brilliant ...,AliGWright,"{'id': 24150705, 'body': ""Hi there,\n\nIf you're having issues with Camera Uploads, as a first step, please try clearing your Dropbox app cache, see if it does the trick.\n\nIf the issue persists, you may reach out to us via Facebook facebook.com/Dropbox, Twitter @DropboxSupport or our Official Online Community https://www.dropboxforum.com, for further assistance.\n\nThank you!"", 'modified': '2021-07-27T07:49:43Z'}"
42,2021-07-30 08:20:15,"Working from home during lockdown, working out and about, accessing docs from anywhere on any device, Dropbox is a lifesaver. No more “could you poss send me the budget we did for ... “ or “the post production schedule for the summer”. It’s all accessible all the time anywhere. I love it!!!",5,False,Dropbox is a lifesaver,Svensonator,
43,2019-03-22 06:29:45,"I Love Dropbox. 
Started almost a year ago when I joined a guitar group. My bulging folder of paper music, was heavy and a pain to keep printing off. Any alterations were wasteful. 
This digital space, where several of us can alter, share and view our music is a massive part of our time. Not sure life would be so easy without it.",5,False,Easy and Essential,Kemilyb,"{'id': 7967321, 'body': 'We’re very happy to hear how you and your 🎸 group share music and collaborate on work through Dropbox!\n\nFeedback like this always brightens up our day and we really appreciate you taking the time to write this app review.\n\nWe hope you have a great weekend ahead. 😊', 'modified': '2019-03-29T12:42:00Z'}"
44,2020-05-30 17:44:46,I use this app mostly for work purposes but have a personal account too. The ease to be able to share dance choreography and work related things with colleagues is brilliant. If the monthly payments were lower for more storage to let’s say £6.99 I’d be tempted to upgrade my personal account. That’s the only thing I would like to suggest.,5,False,Great to stay organised,Cudgeecoo,
45,2022-04-06 12:22:36,"Very poor support. I accidentally pressed sync to my computer a few months ago. I don’t want to sync to Dropbox the information but there is NO FACILITY TO CANCEL. I have tried contacting Dropbox but to no avail, all I get….and nothing else….is a request to upgrade my Dropbox which I do not want to do. I cannot find a way to cancel my account. All Dropbox seem to be interested in is pushing me to have a monthly subscription which I have no interest in getting. I’m caught in a time warp. Very very poor support for what they don’t want to hear l. 😤😤😤😤😳😳",1,False,Cancel sync,Jimbobbybobby,"{'id': 29171982, 'body': ""Hi there,\n\nFrom what you've described, it could be possible that you have computer backup enabled. If your key computer folders have been backed up into your Dropbox account, you should be able to disable the sync, by following the steps, here: https://help.dropbox.com/installs-integrations/desktop/how-to-use-dropbox-backup\n\nWe'd be happy to look into this with you, so for further assistance, you may reach out to us via Facebook facebook.com/Dropbox, Twitter @DropboxSupport or our Official Online Community https://www.dropboxforum.com.\n\nThanks!"", 'modified': '2022-04-14T12:19:26Z'}"
